tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,9,120,0,0,0,0,0,0,0,0,0
100,212,34,1.969853366136141,3.109442506960217,2.5047084634017356,7.495172739578141,47,82,5,0,10006,0,25,336,519,251,267
200,376,23,1.8670048450562098,3.3088169601296533,5.103285055047927,11.699184923544026,48,81,18,2,12714,0,33,497,692,356,421
300,358,20,1.898046279315177,3.3141517204415827,6.271401478724236,11.334583376590729,44,85,29,5,11162,0,40,417,644,319,311
400,351,38,1.9086162666537163,3.3623233232282006,6.766793814278255,12.453642998650821,46,83,30,7,10902,0,43,374,620,347,279
500,335,36,1.8717729234767218,3.2777723248543693,5.8946158016562045,11.354264963674098,45,84,33,14,10625,0,43,389,655,360,299
600,328,34,1.896020736548278,3.3195459864353056,5.9513753699774625,11.028683519533445,40,89,30,10,9825,0,32,371,596,313,283
700,338,34,1.8764486645377962,3.3036323556344995,5.585320587035494,11.212042038239378,39,90,36,10,9471,0,22,316,622,324,283
800,335,23,1.8778762801727935,3.2496253727782367,5.5185000482833315,11.488252006636298,39,90,36,12,9609,0,22,350,688,357,289
900,303,27,1.9054241505210339,3.355239585730969,5.259623553692758,11.211921032298116,41,88,36,14,8974,0,18,326,590,319,286
1000,309,24,1.8928590622629955,3.3230061405493108,5.543477648204312,11.482864244248587,40,89,36,18,8638,0,21,294,590,316,297
1100,337,30,1.8603326596080996,3.3719476162939084,6.541442481952697,11.78802750930364,41,88,39,16,9183,0,30,318,622,309,303
1200,328,46,1.8516970397003407,3.265494504568135,5.338899182089131,11.197759621596527,35,94,33,11,9200,0,20,276,604,335,278
1300,304,29,1.8415256792810464,3.337682684478368,5.627553498461948,10.378887208260323,44,85,41,21,8817,0,18,281,618,298,300
1400,336,50,1.829700850363882,3.3437094160838323,5.521583080785292,11.047249302968162,42,87,37,21,10083,0,37,351,727,377,330
1500,347,30,1.813539630557761,3.36270368905111,4.972391277206663,11.367122963609658,38,91,33,17,8932,0,17,297,605,314,288
1600,329,30,1.8128753245542786,3.2576046559563587,5.392781509228648,10.450948861819292,38,91,35,16,9289,0,32,325,669,316,313
1700,323,36,1.8218289093041309,3.372491368075398,5.981009862622832,11.357676865300538,40,89,34,22,9044,0,30,311,654,310,272
1800,326,31,1.8155974233496333,3.409604331598913,5.560744244240451,10.501975981775363,42,87,38,17,9072,0,23,325,674,277,259
1900,352,44,1.8040542877773438,3.3560343277685956,5.584472775084281,10.446448386216542,39,90,35,19,9559,0,25,366,746,299,264
2000,331,43,1.8093834912335902,3.4325575182041894,5.350550250660931,10.840898423514908,44,85,40,26,9504,0,30,336,755,281,252
2100,325,36,1.8131150559392717,3.367300105971562,6.080277524581655,11.10213133574895,39,90,35,18,8688,0,27,297,701,273,227
2200,336,41,1.7977035218548303,3.3258604624391785,5.4877132436661915,10.54094894972364,43,86,39,28,9566,0,22,348,798,301,243
2300,373,28,1.732218154769356,3.2511242873931834,6.1721141802328034,11.0669141315341,39,90,36,25,9306,0,22,323,844,285,228
2400,343,43,1.7355590079662562,3.3948803183456744,5.96678631065544,10.705896630842194,37,92,35,26,8822,0,19,281,756,245,194
2500,301,41,1.75453845056329,3.4078888910778122,7.08075264176977,10.160237312750063,38,91,35,31,8745,0,33,277,746,220,183
2600,301,35,1.7827730686925767,3.3436634292350225,8.03897453376517,11.727346472842601,40,89,38,32,9116,0,49,276,748,283,209
2700,353,32,1.7571685068118006,3.29518384745704,6.678490409873551,11.691917714532964,40,89,37,32,9853,0,40,324,845,301,255
2800,358,33,1.7770857816426853,3.317397439264868,5.926213397487779,11.07697994877201,39,90,36,28,9595,0,22,341,806,276,237
2900,347,28,1.7819283831421806,3.2759836035212606,5.138306563091863,10.24174176163011,39,90,37,27,8939,0,22,306,728,292,205
3000,344,33,1.7829443102014735,3.234022122132739,6.189591275327772,10.539905306238976,40,89,38,37,9463,0,25,332,805,289,220
3100,330,33,1.7677973063633075,3.256403799890976,5.293074218203389,10.366424799098612,40,89,38,29,8976,0,24,354,756,273,199
3200,339,43,1.743726961123526,3.2664586736729126,5.369355859374095,10.634205703468545,41,88,39,33,9091,0,16,349,767,240,221
3300,345,34,1.7274659909590053,3.270484039856736,6.142411589498579,10.556492460699587,38,91,38,38,8735,0,9,335,792,222,200
3400,320,37,1.7480878561439428,3.187775775218633,6.010292378005326,10.155674093351426,37,92,36,24,8800,0,24,368,784,213,189
3500,335,49,1.7408886035172477,3.2255639216846475,6.278639999995047,10.804965123878555,40,89,37,34,9565,0,25,380,861,245,157
3600,341,38,1.747976959340208,3.4176510404097638,6.581931388036963,11.532926424977934,41,88,39,31,9489,0,30,363,860,290,194
3700,389,45,1.7215413540741378,3.2783431877985016,6.066175435861084,11.351711746903133,44,85,42,39,10005,0,28,411,894,268,233
3800,330,44,1.7151960385693883,3.258060083778115,4.579479427883556,9.990345903813884,34,95,33,31,8518,0,9,336,739,235,161
3900,329,31,1.7075204260562264,3.29410119367441,5.579642660020912,9.796208218971021,40,89,38,32,9065,0,23,379,799,223,168
4000,343,25,1.7340456213734214,3.336061119662856,5.8269185835955515,10.73080249322513,38,91,38,32,9034,0,19,365,807,267,180
4100,316,24,1.702079579165848,3.339255763500345,6.876064318936998,10.505690983637962,36,93,36,33,8740,0,26,336,778,231,156
4200,345,18,1.699245474917947,3.2992134464698744,6.437500127177978,10.87249437907045,38,91,38,30,9431,0,20,374,877,255,199
4300,357,20,1.6948287555044488,3.327011055132555,5.960574316613824,11.207710797204468,40,89,40,40,9442,0,38,402,875,277,174
4400,339,36,1.6728288162967566,3.2707314472611797,5.665421981596348,9.936610563825951,37,92,36,31,8886,0,18,322,847,224,172
4500,335,25,1.6901029775813066,3.3192706732253097,6.280612773539105,10.747100112851356,36,93,35,29,8867,0,25,337,834,238,173
4600,331,54,1.6843359999339516,3.3498719845685785,5.398960230680314,9.81964412860886,37,92,35,32,8761,0,18,327,797,213,138
4700,334,36,1.6820228566533517,3.395908952470855,6.013901418823921,10.673608099769917,42,87,40,39,9383,0,17,394,864,233,189
4800,352,53,1.6992855595716245,3.3507032756190274,5.660083511536396,10.62903239244789,40,89,40,35,9196,0,29,407,841,212,162
4900,361,36,1.6661739989114324,3.288138345662702,5.8214906156869395,10.240334495731409,34,95,33,26,8962,0,25,348,854,216,153
5000,319,45,1.654364153174961,3.354501525275243,4.393300494896108,9.175028698406116,38,91,38,34,8494,0,12,316,843,208,164
5100,359,27,1.6661570197464377,3.395776840434583,5.544546684254186,10.644946722123692,40,89,39,31,9095,0,17,334,932,242,200
5200,363,51,1.649826320624932,3.373682309866065,7.130549523263941,10.87899583467601,40,89,37,31,9213,0,34,352,909,190,166
5300,359,38,1.6937830690078763,3.387989689690541,4.91054737987916,9.79301493664649,42,87,40,36,8927,0,16,374,868,291,156
5400,334,41,1.64908827049477,3.3057040229865304,4.642081489876464,9.358248862573216,37,92,35,37,8383,0,8,330,835,226,153
5500,363,49,1.6438433980473763,3.2924264431171144,5.57816941946643,10.428434594703644,41,88,38,39,9391,0,34,402,919,248,168
5600,356,43,1.6685337725108258,3.3494252348024403,4.622904207871666,9.82443619483633,40,89,36,33,8602,0,23,346,826,273,142
5700,320,47,1.7102094705495483,3.3420614797139576,5.924864021470446,10.609391040461084,37,92,34,36,8419,0,16,331,759,262,137
5800,337,43,1.694685197717458,3.3372497733697926,3.5674337720844678,9.3017288292827,42,87,40,42,8605,0,5,357,839,251,154
5900,346,36,1.6428384152436308,3.301254550840194,4.988791977652625,9.594692662042123,34,95,31,35,8398,0,4,321,805,218,144
6000,319,45,1.6457723690621537,3.409127174025478,5.616577895881807,9.709414876746916,41,88,40,40,8687,0,19,353,854,240,148
6100,355,35,1.6340277041286544,3.303693688240687,4.697334846924587,9.732649106190621,38,91,37,32,8496,0,12,365,852,187,158
6200,339,48,1.6351182707277283,3.351308427435025,4.60657616113527,9.651943693111228,40,89,38,43,8577,0,4,327,867,231,161
6300,368,34,1.608727539120845,3.2893339179982912,4.988981339621031,10.003202819037872,40,89,37,38,8845,0,22,368,951,211,164
