tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,6,113,0,0,0,0,0,0,0,0,0
100,236,20,1.9621301682241863,3.215143434264992,1.7395697874215645,7.546421608163675,47,72,6,0,9322,0,3,196,329,487,435
200,387,17,1.9065914535696757,3.373581816446367,4.875151039582007,11.749961470825653,49,70,22,1,12529,0,55,250,436,711,667
300,406,22,1.8815302646280516,3.348429493478309,4.895980790855792,12.457047946033017,51,68,29,3,12337,0,43,280,467,725,712
400,429,23,1.8726843840418774,3.329067124509921,4.639437664732614,12.172957887565655,49,70,35,8,11895,0,39,274,463,727,700
500,482,29,1.836132074793456,3.2713220613307317,3.4294294305062825,10.860652892693848,53,66,45,10,11609,0,30,297,465,738,737
600,445,37,1.8615838841575951,3.250994071548808,2.9222176332937577,10.865972719885058,50,69,46,10,10881,0,18,288,493,728,675
700,466,34,1.8309243281478849,3.2976516457207588,3.50427615751354,10.655251497780206,53,66,47,14,10752,0,21,281,474,732,724
800,456,45,1.8402732430089466,3.2768278099567083,3.2134349280894337,11.11035037511983,54,65,50,12,10736,0,28,280,484,771,724
900,503,35,1.8414073812418061,3.278001532497606,2.8007984027714783,10.689110614386248,51,68,50,17,10573,0,22,267,485,825,706
1000,499,29,1.824085312750105,3.236726131652131,3.1420236921821445,10.512793843199905,54,65,51,12,10498,0,18,254,519,844,747
1100,516,33,1.802496375683331,3.2073790248656326,3.1557150874861803,10.589665101069677,50,69,47,16,10939,0,25,288,550,839,740
1200,483,34,1.793643513086443,3.208341106959553,3.2754301002392894,10.51543573139365,54,65,51,14,10322,0,21,280,523,823,710
1300,514,38,1.8085714639002273,3.22869955110814,2.811501623399792,10.45420670532113,54,65,50,21,10320,0,22,295,549,824,705
1400,504,44,1.7889766795755369,3.2002493122437596,3.075652592964486,10.95946832313215,54,65,49,22,11052,0,20,316,532,895,760
1500,518,43,1.7984298944583146,3.2259726718520794,3.168492085293853,11.24027184590287,54,65,49,22,10870,12,25,337,526,900,699
1600,513,48,1.7869588103006828,3.2340448943448625,3.196748850868648,10.755515844441641,54,65,50,23,10802,0,25,325,506,857,724
1700,504,50,1.7742092179497704,3.20327344395743,2.531068068066783,10.19470976060441,59,60,53,23,10789,0,15,330,463,865,733
1800,527,47,1.7845525307017462,3.227201954182388,2.3268886564383866,10.1923879782114,58,61,55,20,11231,0,21,363,550,899,806
1900,538,44,1.7979214017352008,3.233841354670882,2.940379024952652,10.808925250797774,55,64,51,19,10437,0,12,331,500,838,713
2000,522,54,1.7889088608595136,3.1686543771762103,2.4998785109935113,10.166982618811005,57,62,54,23,10835,0,16,363,502,843,776
2100,518,65,1.7971802349219868,3.2086773462025433,2.355322347437614,10.32651107446193,59,60,57,27,10669,0,24,309,521,902,731
2200,512,60,1.7845235939257944,3.2651417266777703,2.400859345826486,10.685467861022712,56,63,53,23,10527,0,15,341,518,838,721
2300,541,56,1.7812820028886032,3.170625909810368,2.146580336104564,10.48167120331243,60,59,57,19,10943,0,11,349,544,955,748
2400,519,67,1.7634671553349304,3.192355401289057,2.208673999084938,10.393464124343819,58,61,56,24,10803,0,18,313,567,881,743
2500,551,61,1.743599311181885,3.2117061683381927,2.3103338292937674,10.851320906777271,60,59,58,29,10678,0,12,279,540,909,778
