tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,6,113,0,0,0,0,0,0,0,0,0
100,236,23,1.9639782564392863,3.2158434342649915,1.7450724143697798,7.5478049414970085,48,71,0,0,9306,0,3,196,329,482,433
200,400,20,1.920876253058316,3.382778461555296,3.6342194145003868,10.720125786853302,52,67,0,0,12463,0,26,265,419,720,641
300,421,18,1.9158528648960533,3.343881622233913,4.811617041593305,11.910765943453757,47,72,0,0,12747,0,38,281,400,702,698
400,412,12,1.9157642933576995,3.4694117022220343,4.705832884515323,12.175804016479383,54,65,0,0,12669,0,44,266,460,728,667
500,435,20,1.8975689832377762,3.3988448419329718,5.22835092919641,12.950969144939094,55,64,0,0,13389,0,38,265,480,785,696
600,464,23,1.890712373833324,3.3755658230859837,3.4115949170004147,11.952330412570557,56,63,0,0,13146,0,39,284,475,810,684
700,458,19,1.8739892320625737,3.3672637081090153,3.5521055398687844,11.76420480563482,56,63,0,0,13691,0,43,255,473,853,740
800,448,15,1.8908554868500003,3.311970677637218,4.694686230160927,12.237412223836873,58,61,0,0,13822,0,48,285,492,852,738
900,447,19,1.8762895622622286,3.4234172858246774,4.269838458704244,12.559243934030508,58,61,0,0,13923,0,64,274,516,833,720
1000,459,16,1.8696363705745864,3.387765711593313,4.295445544381235,12.76435180155205,61,58,0,0,13710,0,42,270,543,855,736
1100,504,7,1.8727826447689395,3.3175480429037534,4.198951270073112,12.389524407901984,57,62,0,0,14103,0,61,316,544,857,797
1200,464,21,1.8415686949715129,3.281375482803065,3.585414501686351,11.902530841922857,63,56,0,0,14258,0,49,337,556,852,765
1300,494,20,1.879070788440565,3.3226728482386814,3.369535164907412,12.961114174250124,63,56,0,0,14540,0,29,368,573,898,780
1400,487,16,1.867958371712944,3.2927103607692634,4.064677211357201,13.684824896321922,58,61,0,0,14588,0,44,364,577,862,783
1500,470,14,1.896198745158347,3.4499577014125875,3.2719233837508126,12.42448980259996,60,59,0,0,13329,0,19,309,472,819,717
1600,486,14,1.877520430294532,3.385456965169569,3.7388496442262236,12.843395199357083,58,61,0,0,14222,0,31,335,523,919,781
1700,484,17,1.881326892503786,3.3995083315924477,3.680401018315686,12.919217237050232,57,62,0,0,13894,12,34,293,494,871,762
