tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,rejected task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,9,120,0,0,0,0,0,0,0,0,0
100,204,49,2.039954232938237,3.2247356475224134,2.7868825500694694,7.8516897511673065,48,81,0,0,9743,0,24,363,451,162,298
200,339,23,1.8761889037500838,3.4445826547370153,6.237556783302848,12.533483051099973,51,78,0,0,13438,0,88,517,760,261,496
300,346,14,1.8673107842198038,3.428591200193894,7.958286750560802,13.333757566125945,44,85,0,0,12748,0,88,448,702,225,461
400,321,10,1.8692759964147834,3.3268268375501346,7.581621825113311,11.62371925249673,39,90,0,0,11350,0,65,366,631,211,391
500,294,14,1.8603094082084342,3.349690453681165,7.736292926371873,11.511358064020605,41,88,0,0,11888,0,68,410,641,197,374
600,296,13,1.827229063925221,3.30209514698408,9.847485484720256,12.140538503057046,44,85,0,0,12868,0,107,400,760,216,403
700,276,12,1.8599749085056978,3.3405814256692734,9.302363973616684,12.56326922363842,41,88,0,0,11826,0,103,336,682,203,361
800,302,15,1.8260908593086704,3.3516536621703024,10.169758951574739,13.255055707536357,44,85,0,0,12878,0,94,385,746,222,391
900,334,12,1.8147506464900314,3.258378269346602,11.628361540517485,13.21754754393503,44,85,0,0,13754,0,163,418,854,246,424
1000,330,14,1.812824056906688,3.3021597552475193,10.24973341976557,13.143945371470558,47,82,0,0,13546,0,113,462,789,218,390
1100,334,13,1.8137219112255665,3.3363345060826,10.06999782367167,12.601427139780021,46,83,0,0,12935,0,93,401,791,236,385
1200,316,13,1.828514483202228,3.2925735597634747,8.452680225470678,12.527202327966227,47,82,0,0,12809,0,69,390,778,223,417
1300,328,15,1.8255704420249135,3.3270510400761935,9.140148641949729,13.473893915638884,44,85,0,0,13457,0,110,416,862,238,453
1400,320,14,1.8231340741041893,3.2534098533045888,8.842018002164673,12.820241430310313,43,86,0,0,12430,0,61,404,703,215,371
1500,311,30,1.829866498529089,3.234077141984265,8.994689197240666,12.745103296385414,46,83,0,0,13074,0,92,422,753,199,399
1600,306,23,1.8092996638958256,3.290419588323612,9.745813041548576,12.760581976517972,40,89,0,0,12018,0,68,389,685,178,344
1700,288,26,1.8391950365628198,3.2935525278926794,9.138017034294208,12.337982372309424,48,81,0,0,12621,0,82,401,706,192,350
1800,324,12,1.810468444211891,3.2277074608230034,8.656663151366814,12.703645036135253,47,82,0,0,12572,0,98,420,769,223,364
1900,321,22,1.8099667114552591,3.2446022645449553,7.824697599337593,11.979817765700364,37,92,0,0,12505,0,85,407,712,233,381
2000,280,34,1.8172474881092346,3.248636994412537,7.925406698220942,12.487220856199185,45,84,0,0,12055,0,74,380,634,208,375
2100,315,28,1.8152252418605181,3.288721796177677,6.893857942882713,12.079720092901594,47,82,0,0,12681,0,70,390,727,217,437
2200,291,23,1.7997289912335057,3.2993208119052237,9.572145606098557,12.65416867030159,46,83,0,0,13389,0,115,417,809,230,439
2300,325,28,1.8141373226792643,3.241396056561557,7.829505503253719,12.085782802473325,40,89,0,0,12312,0,94,376,696,200,420
2400,279,28,1.8142135517066422,3.249798660876446,7.872399127274516,12.205042141510019,45,84,0,0,12279,0,95,393,657,186,424
2500,310,37,1.809200001042776,3.2227889851077873,8.57410039979464,12.246438356479075,41,88,0,0,12710,0,95,398,703,198,408
2600,289,29,1.826607047114185,3.3235533238691097,8.241458168121866,12.023847789895008,42,87,0,0,12312,0,82,372,664,185,387
2700,280,20,1.8054341741857625,3.294010304066418,8.534577933160755,12.2129313852642,42,87,0,0,11824,0,74,400,682,203,354
2800,304,33,1.839234403717224,3.2444146989491407,7.299581360589871,11.406980669528268,43,86,0,0,12256,0,61,401,672,252,383
2900,311,18,1.8052696086547948,3.30711365805677,8.32566449816953,12.621364473632662,42,87,0,0,12405,0,89,384,695,241,366
3000,321,21,1.8158141698044827,3.249500758958963,7.963138468858283,12.234049855244514,44,85,0,0,12235,0,81,408,689,221,390
3100,305,14,1.7831376986525398,3.29786514341352,7.701728513794873,12.23669261706272,48,81,0,0,12371,0,66,393,728,232,402
3200,322,20,1.8101070542634836,3.2480088118795543,6.789277287684796,11.98057676197212,47,82,0,0,12315,0,57,408,726,227,416
3300,298,15,1.8156328534257122,3.3212860286428425,7.710073546026665,12.2999592752785,39,90,0,0,11285,0,51,312,626,216,352
3400,305,17,1.8199729924592416,3.3225334289463535,7.553414785034368,11.924681603226492,43,86,0,0,11817,0,80,356,729,202,362
3500,296,15,1.808137577497263,3.1953579857105385,8.547929484688002,12.096617852606634,40,89,0,0,12220,0,113,373,746,204,341
3600,279,20,1.8015581930443614,3.23664014996871,8.994190426618445,11.81739799308879,44,85,0,0,11948,0,75,381,717,217,329
3700,285,19,1.8002662792943847,3.4424713567306435,8.565583172933016,12.706538937455733,42,87,0,0,12020,0,96,411,724,184,315
3800,285,17,1.7911635402068642,3.312354406515397,9.075348340256237,12.234989409068742,44,85,0,0,12911,0,102,395,824,189,356
3900,296,19,1.784840965576343,3.2587438757959837,10.322651472816753,12.690578559760784,40,89,0,0,12887,0,114,418,781,209,381
4000,299,14,1.7814708130419674,3.3768153713761295,8.646816541735138,12.809428320425111,48,81,0,0,12916,0,83,426,775,214,380
4100,316,18,1.7948766268648908,3.320380525262491,8.108428832476427,12.94704909886295,46,83,0,0,12941,0,103,431,772,194,380
4200,305,21,1.778677905139468,3.293133971162996,9.192326782995131,12.437834555709172,42,87,0,0,11944,0,84,351,723,218,339
4300,311,22,1.7831247026032764,3.3287455899569225,8.027162767178902,11.539525016786357,45,84,0,0,12576,0,79,406,770,198,371
4400,293,27,1.7908890659999497,3.3209233661075768,7.310266340470678,11.648459664561445,43,86,0,0,12231,0,86,366,743,182,340
4500,310,12,1.775393245543933,3.3235232241043082,9.364915533310187,12.665239196991521,42,87,0,0,12694,0,98,391,800,215,369
4600,310,21,1.7983089962136165,3.341667538129226,9.259098144030032,12.511865886392588,43,86,0,0,12738,0,114,384,761,188,387
4700,346,17,1.7812859499672564,3.2888258402244475,6.916585349591927,11.482999142670197,42,87,0,0,12622,0,62,408,784,188,387
4800,328,15,1.7470259299222162,3.3685067354591696,8.208068696764418,11.79750621860603,42,87,0,0,12646,0,108,373,784,197,405
4900,314,17,1.7811956304749097,3.1728800776107295,7.899717992533783,10.92056652772752,43,86,0,0,11826,0,60,391,695,168,356
5000,305,11,1.7754253507282027,3.2676305046432765,6.667048246859779,11.287391224960112,36,93,0,0,11270,0,37,383,679,181,324
5100,299,13,1.7716698451061723,3.393410011462566,6.478986679118954,11.662305086846418,46,83,0,0,12974,0,70,440,791,212,369
5200,301,12,1.7701899494100115,3.348326287274817,8.496043494173524,12.624668022208276,43,86,0,0,12601,0,83,420,768,213,375
5300,315,25,1.7897580621305167,3.3313485617129626,8.297700690875208,12.796495249263607,44,85,0,0,12570,0,72,419,718,207,368
5400,322,13,1.7711235567493793,3.319351559946761,7.024440328290559,11.604987187992615,45,84,0,0,12022,0,59,408,716,230,376
5500,311,22,1.7610290047404535,3.307509977037066,7.158428193065961,11.408046391173322,44,85,0,0,11633,0,63,377,657,182,310
5600,278,14,1.7830500564811758,3.3778862903092794,10.038607500213928,12.794453500017353,44,85,0,0,12467,0,108,389,760,197,362
5700,303,19,1.8023425579115082,3.332332304254054,8.86409340399023,12.73532175225875,39,90,0,0,12803,0,88,383,764,215,380
