tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,average subtask queue size,rejected task
5500,1226,67,1.7581575814548884,3.324320233082004,7.343512588972565,11.692972666400564,166,334,0,0,48022,0,1.120579233146787,320
5600,1215,81,1.7591952380267326,3.3078624373168686,8.393846079960625,12.39864592141246,170,330,0,0,49624,0,1.2771768137436845,323
5700,1273,81,1.7719369866831545,3.304625319072837,8.148839653830509,12.398650296489004,163,337,0,0,50665,0,1.30806146961371,353
5800,1242,95,1.763780817134377,3.282184411882576,7.568778310804578,11.732476659108563,174,326,0,0,48606,0,1.1675548400461258,276
5900,1234,89,1.7672977714378189,3.27744297013457,8.31372106742801,12.329735641606517,169,331,0,0,49312,0,1.2810981679082287,368
6000,1232,83,1.7587525500853176,3.3021420407271633,7.765360791094441,11.953110311427048,175,325,0,0,51022,0,1.2534167835025074,381
6100,1193,100,1.76639500973659,3.330435894938339,8.155869163808513,12.17101081244868,165,335,0,0,49308,0,1.2327548913863737,359
6200,1244,89,1.7626002551739743,3.2962262962242215,8.003115001594306,12.126912247670386,165,335,0,0,49888,0,1.262257739631624,323
6300,1278,72,1.7566966622896039,3.2735414161731744,7.730639474120416,11.942627009772433,169,331,0,0,48796,0,1.2261371144703341,275
6400,1284,80,1.7539439661361127,3.2745945931124463,7.347064561260122,11.758839022232467,177,323,0,0,48955,0,1.1719398417537612,271
6500,1255,71,1.7557905422442766,3.2760188151893135,7.297422519284419,11.634458921116384,164,336,0,0,48025,0,1.1480100831631637,272
6600,1238,85,1.75635552696553,3.278172319115726,7.706845940764111,12.04024727087479,164,336,0,0,48236,0,1.1842761473862924,276
6700,1205,82,1.76615292871643,3.308536890978034,8.041675240152413,12.197431514596554,165,335,0,0,50582,0,1.25686610454398,361
6800,1266,74,1.7553960484825697,3.2731346911298824,8.300468961163453,12.353606635108951,171,329,0,0,49836,0,1.2832738578975074,337
6900,1240,67,1.7660538733144122,3.284332690032947,8.09165849501936,12.140135712066352,172,328,0,0,50158,0,1.295162429391273,353
7000,1243,60,1.7498087773986244,3.2695569406432416,8.253116284343363,12.18581454026046,169,331,0,0,50404,0,1.3002596117885397,377
7100,1237,79,1.7547518172811352,3.287273385936201,8.124125553820182,12.287885740629287,160,340,0,0,50241,0,1.2981924665552749,346
7200,1249,58,1.7566694061327865,3.3024909131281555,7.99747139564428,12.16110363755017,169,331,0,0,48895,0,1.234180798160516,301
7300,1236,51,1.7516304486719239,3.308150209111904,7.548970268799945,11.888674260818116,167,333,0,0,47007,0,1.1631660420754002,273
7400,1230,65,1.7480129912558615,3.2708382012697967,8.16851470817652,12.186447737652749,165,335,0,0,49116,0,1.219219818186599,358
7500,1154,95,1.7489033076074525,3.26668649649275,8.076064575769974,11.936962418273946,163,337,0,0,50231,0,1.203551549723384,406
7600,1255,65,1.7537088390555717,3.2880196824393164,7.365319973235809,11.701305503221223,164,336,0,0,47848,0,1.1423254199215156,264
7700,1209,71,1.7458203383815423,3.3149839487941004,8.15702771914818,12.175896009849602,165,335,0,0,48505,0,1.1973522135330494,322
