AgentID,Cap,Role,Count,TO,Cap,Distance
53,4.33,class Agent.Leader,3,163,2.67,1,180,4.00,1,405,4.00,2
446,3.00,class Agent.Leader,3,275,3.33,1,338,3.00,1,311,3.33,2
147,3.67,class Agent.Leader,4,459,2.33,1,462,2.67,1,221,3.00,2,473,4.00,1
439,3.33,class Agent.Leader,5,154,2.67,1,433,2.00,1,296,3.00,1,226,4.33,2,50,2.00,1
96,3.00,class Agent.Leader,3,84,3.00,1,321,4.00,2,301,2.33,1
318,2.00,class Agent.Leader,5,294,2.33,1,364,4.00,2,275,3.33,2,372,4.67,3,432,3.00,1
144,4.00,class Agent.Leader,3,386,4.00,1,325,3.33,1,71,2.67,1
399,3.33,class Agent.Leader,3,143,2.67,1,184,3.33,1,473,4.00,1
153,3.33,class Agent.Leader,5,11,3.00,1,392,3.33,1,303,4.33,2,101,4.00,1,441,3.33,1
151,4.00,class Agent.Leader,5,390,2.67,1,75,4.00,2,319,3.00,1,166,3.33,1,322,3.67,1
383,3.33,class Agent.Leader,5,474,3.67,1,116,3.33,2,98,4.00,1,464,3.67,1,94,3.67,1
387,1.67,class Agent.Leader,4,242,3.00,1,455,2.00,1,493,2.33,2,462,2.67,1
382,1.67,class Agent.Leader,5,287,4.33,2,27,2.33,1,372,4.67,2,128,2.67,1,105,3.00,2
152,3.33,class Agent.Leader,4,19,3.67,1,135,3.67,2,199,2.67,1,245,4.00,2
223,4.00,class Agent.Leader,5,312,3.33,1,177,3.00,1,204,3.00,1,174,3.33,1,94,3.67,1
114,2.33,class Agent.Leader,4,43,3.33,1,116,3.33,2,12,4.33,2,321,4.00,2
130,3.33,class Agent.Leader,1,307,4.33,1
315,1.67,class Agent.Leader,3,417,3.33,1,105,3.00,1,405,4.00,1
30,2.00,class Agent.Leader,5,75,4.00,1,56,3.67,1,480,4.33,1,409,3.00,1,438,4.00,1
127,2.00,class Agent.Leader,3,132,3.33,2,480,4.33,2,168,3.67,2
146,3.67,class Agent.Leader,4,78,3.33,1,43,3.33,2,420,3.33,1,97,3.33,1
209,2.00,class Agent.Leader,3,319,3.00,1,427,3.33,2,456,3.33,1
225,3.67,class Agent.Leader,3,407,3.33,1,348,3.33,2,57,3.00,2
339,3.33,class Agent.Leader,4,90,3.33,1,104,3.00,1,449,1.33,1,77,3.67,1
178,3.00,class Agent.Leader,4,286,4.33,1,384,3.33,1,380,4.67,1,101,4.00,1
205,4.00,class Agent.Leader,2,397,3.33,1,320,2.67,1
16,2.00,class Agent.Leader,2,206,2.33,2,377,4.00,2
35,3.67,class Agent.Leader,4,394,3.67,2,69,4.67,2,234,4.67,2,213,4.00,2
352,3.00,class Agent.Leader,4,65,3.67,2,179,3.33,1,122,3.33,1,368,4.00,1
371,3.33,class Agent.Leader,3,334,3.00,2,448,3.00,2,70,3.67,1
210,1.67,class Agent.Leader,3,11,3.00,1,392,3.33,1,226,4.33,1
108,2.67,class Agent.Leader,5,182,3.33,1,495,4.33,1,121,4.00,1,97,3.33,1,372,4.67,1
266,2.67,class Agent.Leader,4,240,3.00,1,65,3.67,1,418,2.33,1,184,3.33,1
32,3.00,class Agent.Leader,3,198,4.00,2,256,4.33,1,413,3.00,1
249,4.33,class Agent.Leader,5,28,2.33,2,140,3.67,2,128,2.67,1,306,3.33,1,311,3.33,1
45,1.33,class Agent.Leader,3,478,4.00,1,31,3.33,2,398,4.33,2
218,3.67,class Agent.Leader,3,142,3.67,1,307,4.33,2,34,3.00,1
402,3.33,class Agent.Leader,5,5,3.67,1,286,4.33,1,433,2.00,1,88,2.67,2,201,2.33,1
231,1.67,class Agent.Leader,4,25,4.33,3,12,4.33,1,149,4.00,1,221,3.00,2
64,2.33,class Agent.Leader,5,430,4.00,1,271,3.67,1,384,3.33,1,296,3.00,1,174,3.33,2
454,1.33,class Agent.Leader,3,160,3.67,2,46,3.00,1,189,2.67,1
139,2.33,class Agent.Leader,5,457,3.33,1,309,3.67,1,97,3.33,1,106,4.00,1,285,2.33,1
353,2.67,class Agent.Leader,3,211,3.00,3,465,2.33,2,330,3.00,2
4,2.67,class Agent.Leader,3,443,3.00,1,150,2.67,1,482,2.33,1
272,2.33,class Agent.Leader,5,271,3.67,1,398,4.33,1,148,4.67,1,95,3.33,1,283,2.67,1
262,2.33,class Agent.Leader,5,160,3.67,2,476,4.00,1,128,2.67,1,335,3.67,1,172,3.67,1
214,3.33,class Agent.Leader,4,131,5.00,1,376,2.33,1,232,3.67,1,463,2.67,2
361,2.00,class Agent.Leader,3,278,2.00,1,22,2.00,2,246,3.00,1
243,3.67,class Agent.Leader,4,287,4.33,1,133,3.67,1,411,2.33,1,170,3.67,2
29,2.00,class Agent.Leader,4,422,2.33,1,199,2.67,2,250,2.67,2,281,4.00,2
248,2.00,class Agent.Leader,3,358,2.33,1,48,3.67,2,186,3.00,1
