tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,4,127,0,0,0,0,0,0,0,0
100,190,43,1.9344631395840068,3.1109467550262315,6.469860220026339,9.008545471589414,42,90,0,0,8617,0,167,252,241,428
200,295,47,1.880699104624855,3.2876327646564234,9.561290897859356,12.841786129471416,45,87,0,0,10204,0,205,310,295,549
300,325,49,1.8559708759511124,3.251907356854076,9.678404117007993,13.194849668201197,47,84,1,4,10684,0,224,320,309,607
400,333,62,1.832198968618201,3.1978469173283326,9.135874209662166,13.076466028132922,49,83,4,8,10821,0,227,310,305,609
500,325,71,1.8156712510828041,3.238671223462495,9.06106071153711,12.788664114047709,47,85,8,14,10601,0,207,289,286,611
600,321,78,1.7874978940892978,3.224369098749999,8.715694921877672,12.615909411306369,48,84,14,17,10691,0,208,292,310,631
700,330,82,1.7663128411288609,3.2219532570324434,8.587439569306884,12.632075499987856,47,84,21,21,10564,0,203,283,307,626
800,319,87,1.761774850749248,3.2152422822193194,8.843041529958043,12.265913511065232,48,84,23,26,10271,0,190,238,304,628
900,330,99,1.7385819379002974,3.2367641086077565,8.257050666664727,12.221152324900311,48,84,28,26,10379,0,197,249,311,650
1000,313,93,1.7316575547079593,3.222684766141725,8.493438768026174,12.169410823687297,47,84,29,29,10002,0,204,260,291,641
1100,327,98,1.7219525203028712,3.2190399904388114,8.820733213407916,12.286979251996833,47,85,31,28,10050,0,200,244,291,642
1200,327,101,1.701254720853287,3.205776903193504,8.518461409528825,12.063972672225491,48,84,32,32,10008,0,182,235,298,670
1300,307,98,1.6987267039853524,3.194578573442639,8.89135412350144,12.106948222177186,45,87,32,31,9804,0,163,231,290,672
1400,312,100,1.6777585221840292,3.1732736054876614,9.21650354692355,12.028938849573574,45,86,34,34,9626,0,150,218,296,658
1500,300,91,1.677980999518876,3.224988421761773,8.918451731274507,11.882749182849336,44,88,34,32,9334,0,150,211,282,640
1600,319,88,1.6662257561182856,3.238050608521336,9.07568261465452,12.283218268289579,43,89,34,34,9473,0,160,222,304,691
1700,321,92,1.6597938676359283,3.228555758442809,9.096589749084352,12.15724810739397,45,87,35,38,9571,0,161,222,296,700
1800,324,94,1.6496050212997249,3.2099849671680003,9.18574267106867,12.221177923319823,44,88,35,38,9580,0,151,220,322,707
1900,315,92,1.6432374568375143,3.210995893869695,8.598403627991507,11.917106490840261,43,88,34,39,9323,0,143,212,307,688
2000,322,81,1.629000771058933,3.2168451134328473,8.914075444711502,12.183472220648133,44,88,36,42,9387,0,147,208,314,733
2100,331,92,1.614521969743749,3.2198004566614085,9.3734128345537,12.124851824873653,43,88,37,43,9366,0,145,201,311,722
2200,315,84,1.6096651327580884,3.20594678636467,9.033601184775332,11.946046528223246,43,89,36,44,8947,0,145,196,300,698
2300,310,89,1.5998289522560072,3.205494116324431,8.94334721579919,11.70675816790332,43,89,37,46,8986,0,149,185,298,704
2400,307,91,1.6019977980689126,3.2668017371682097,9.304287463014797,11.991298692633066,41,91,36,45,8845,0,148,178,301,689
2500,319,77,1.5874374122615194,3.256303615529589,8.64193684468057,11.90418867173313,43,89,38,49,8781,0,149,190,292,730
2600,318,85,1.5779167270599095,3.2415138868115503,8.773035827693072,11.693237778030248,42,90,37,47,8840,0,146,193,288,739
2700,316,80,1.5793561488641927,3.2464179360146637,8.980585723450403,11.789788680062355,41,90,37,49,8677,0,149,198,270,726
2800,318,77,1.5734915712377384,3.2280873219417874,9.08038192030153,11.915268953264956,43,89,39,52,8777,0,149,192,304,756
2900,320,78,1.5787291387879279,3.292830835040322,8.940548220503441,12.135089761714264,43,89,39,53,8710,0,161,186,297,732
3000,322,74,1.5669570280576395,3.2645001276180956,9.027453040349759,11.76660982434879,42,90,38,53,8659,0,150,193,299,761
3100,311,69,1.5654751854658882,3.264356262996247,9.0897577732642,12.03978210393256,41,90,38,53,8317,0,146,187,283,726
3200,309,77,1.557132893042104,3.261038579826108,8.667791499873857,11.641520294977989,42,90,38,54,8451,0,141,190,275,745
3300,314,74,1.5537020870957636,3.286016250992885,8.828309517509256,11.778688348500257,42,89,39,56,8515,0,147,191,278,754
3400,322,78,1.5503601641037446,3.2541446196186423,8.963250864922925,11.995205879056682,41,91,38,55,8416,0,138,193,283,747
3500,319,71,1.536228553671659,3.3274312058154005,8.818423670017491,11.840010510668876,42,89,39,55,8374,0,132,192,294,764
3600,325,71,1.5417314640901174,3.258699519767164,9.243849332491601,11.935889446685369,42,90,39,53,8339,0,139,188,304,747
3700,311,77,1.530966615621811,3.3115812385776824,9.30367638631507,11.95257383052663,42,90,40,53,8377,0,138,193,300,734
3800,324,69,1.5380379634995902,3.282077972958052,8.739484129117098,11.815036984233943,41,91,39,53,8477,0,148,187,303,774
3900,330,68,1.528020154744518,3.2920002674788473,9.16404187179032,12.208699512829053,42,90,41,57,8526,0,138,194,324,806
4000,328,71,1.5134952018645382,3.240508926271017,8.624648270288366,11.756679577490463,40,92,38,53,8280,0,125,184,301,759
4100,333,65,1.4966250341216587,3.232179877857388,9.251085621802174,11.800620584456304,41,91,40,56,8647,0,125,206,305,826
4200,333,67,1.5096161240128614,3.267205789546767,9.786292514147332,12.141146792928867,41,91,40,55,8532,0,130,209,289,812
4300,323,68,1.5167288580220495,3.272069566276084,9.20856693442713,11.98409227033788,42,90,41,57,8391,0,129,210,290,784
4400,331,69,1.5138710197592702,3.2655025447570027,9.3693226460545,12.357119429380894,40,91,39,56,8435,0,135,207,298,794
4500,338,60,1.5104935511893296,3.193011909260303,9.190113316384702,12.124627499923013,40,92,39,55,8568,0,140,200,328,817
4600,346,57,1.508164770209882,3.1926491171198235,9.27946168253181,12.349919437363653,39,93,38,53,8553,0,136,209,320,828
4700,336,59,1.4979154072385696,3.223889548567328,9.824706379419299,12.467663966067036,40,92,39,56,8561,0,113,205,317,828
4800,343,60,1.4906374770972797,3.196198663819043,9.400018963741735,12.340856797507193,41,91,39,58,8749,0,130,218,313,850
4900,341,66,1.4888774535747646,3.1892238155175865,9.867271577284455,12.142120255747809,40,92,38,54,8727,0,111,214,306,839
5000,336,52,1.4964675191330181,3.1937849735002173,9.501921460639748,12.264854230248154,40,92,38,51,8590,0,116,225,318,837
5100,352,63,1.4887802340374563,3.228228899384024,9.774645739687195,12.44253812538909,40,92,38,55,8954,0,107,222,330,847
5200,341,57,1.491499031668064,3.180266065957017,9.579351860482097,12.444818475403288,40,92,37,49,8607,0,112,207,347,829
5300,345,59,1.5017873299137483,3.1854529864745227,9.418536147408723,12.37370418356124,41,91,39,55,8844,0,132,221,338,847
5400,350,64,1.4868309699800906,3.1877965402396686,9.27341250200122,12.40016607127757,41,91,38,54,8772,0,118,207,343,834
5500,347,61,1.4899424710014526,3.191682432512646,9.377562738806729,12.319629638444221,39,92,37,52,8817,0,115,211,331,847
5600,349,66,1.4881250288231909,3.20251538793043,9.802808085777315,12.442510394860337,42,90,38,58,8941,0,117,217,339,856
5700,349,68,1.4873435986139187,3.198532740165611,9.345416417925213,12.427592977944299,42,90,39,59,8845,0,128,215,342,845
5800,341,74,1.49039589780916,3.174996619231475,9.254482715335623,12.002193050432375,41,91,38,58,8755,0,123,205,315,814
5900,345,55,1.494619571452535,3.2010685190759283,9.031119261251837,11.851697562861716,39,93,37,55,8703,0,129,205,342,852
6000,344,51,1.4886350935060912,3.174764019996882,9.58033685003933,12.19385221565914,40,92,38,56,8670,0,127,200,335,838
6100,348,59,1.4748080826081338,3.168344056109307,9.746105061155246,12.390968218327332,38,94,37,55,8713,0,120,188,330,853
6200,340,51,1.491595301345629,3.2030073233301475,10.122925764616298,12.248598265895126,39,92,38,55,8842,0,127,190,339,873
6300,354,50,1.4694050830398724,3.171332070377382,9.880440321313372,12.46936256984924,40,92,38,58,8862,0,127,193,334,886
6400,355,53,1.479461940345407,3.21738826110244,10.083722479136867,12.541332029956783,39,93,37,57,8966,0,127,201,334,893
6500,349,52,1.4720289604065924,3.159759909906717,9.7605396259779,12.284508780249652,39,92,38,58,8927,0,132,194,329,885
6600,354,46,1.4696918062595479,3.2072910714884717,9.652892222121,12.44942316019596,38,93,37,56,8782,0,138,198,327,881
6700,348,48,1.4638257770702623,3.1801246368676637,9.749069198924978,12.32280909483177,38,94,36,57,8709,0,129,210,319,869
6800,349,50,1.4697280708083826,3.175502479640004,9.766846150788254,12.288183928973307,39,93,37,58,8892,0,129,208,338,886
6900,353,46,1.4636814013928656,3.174148042154369,10.106186152376871,12.533711693086365,39,93,38,56,8889,0,124,203,333,900
7000,348,54,1.460795393578077,3.1900053337579486,10.490542808300338,12.560838397757697,37,94,36,56,8804,0,120,193,331,873
7100,334,48,1.4567448946434778,3.198655106461783,10.278384441365045,12.500283131491026,38,94,37,57,8742,0,109,195,315,875
7200,344,54,1.4559705664973066,3.16918598329644,10.189689343893383,12.584178767527003,39,93,37,58,8858,0,118,193,324,885
7300,352,62,1.444089496571692,3.1428745254663624,10.45577285633132,12.556981702294488,37,95,36,58,8838,0,108,190,302,891
7400,327,54,1.4552350976534243,3.1959911816384845,10.65131271399561,12.206135524686415,37,95,36,60,8679,0,108,177,291,873
7500,337,60,1.4479749161908828,3.174265130721237,10.599934718441995,12.29926211194069,39,93,38,60,8718,0,106,178,288,862
7600,345,66,1.438863824919351,3.152661926458776,9.798279354681886,12.36446570194971,39,92,38,61,8880,0,108,200,329,873
7700,349,54,1.441689657209836,3.1935502128259183,9.200883838982518,12.185070105632976,40,92,39,63,8693,0,117,199,328,888
7800,351,59,1.4473388941983627,3.172658794479544,9.37946074608089,12.093016885332807,39,93,38,63,8624,0,109,199,316,878
7900,343,54,1.431696008705438,3.1912369874783297,9.56753237917524,11.937103703569722,38,93,38,61,8625,0,107,202,311,899
8000,340,53,1.4342480262867128,3.2169941154110813,9.3737708564149,12.282657822954867,37,95,36,61,8470,0,113,201,314,864
8100,337,56,1.4322626143846182,3.1935381400929974,9.426714605247094,12.016412922264593,39,93,38,63,8567,0,106,200,298,871
8200,340,57,1.4367592953275385,3.179139482196431,9.448953051676101,11.82481005911016,39,93,38,61,8571,0,99,204,308,875
8300,341,56,1.4222979553203166,3.1899734523067753,9.58806934924016,11.821418166257224,39,93,38,62,8526,0,107,202,309,882
8400,349,55,1.4318115391633728,3.1912239235726485,9.54214393558566,12.107965658705439,38,93,37,61,8573,0,108,214,309,882
8500,349,50,1.428880957250823,3.1726201135415817,9.564947606154007,12.13780453966388,37,95,36,58,8472,0,105,218,299,901
8600,340,49,1.4489213238814989,3.144401063162261,9.502357694754993,12.042554065020544,39,93,38,62,8644,0,120,219,319,889
8700,358,54,1.4290420644248798,3.1460291711944053,10.135498171126908,12.136683132798353,40,92,38,64,8823,0,107,216,312,918
8800,353,54,1.4316098808008502,3.1328418943027025,9.75493852008263,11.919032102297416,39,93,37,60,8664,0,114,212,313,909
8900,344,56,1.4265228790913917,3.1925411429041333,9.789235880521783,12.058560970208637,39,93,37,62,8646,0,104,196,308,879
9000,356,53,1.419668302607443,3.1397009813827816,9.552927514231481,11.819195373826137,38,94,37,60,8723,0,112,210,308,913
9100,348,56,1.4217648202392132,3.1344571386818467,9.764801965667784,11.930937522534434,38,94,37,61,8721,0,114,197,313,917
9200,345,47,1.416823096353647,3.183310743520608,10.15900034169412,12.136961014278024,38,93,38,65,8491,0,98,195,303,901
9300,343,55,1.4243639601363864,3.142434689742258,10.104905520655063,12.103171941156138,39,93,38,63,8597,0,109,193,294,892
9400,348,53,1.4312256206966836,3.1633582875332604,9.76434254455771,12.10169651704655,36,96,35,59,8717,0,106,197,316,909
9500,341,51,1.4236627468071328,3.156529788922361,9.861570134685552,11.998600447326034,38,94,37,65,8536,0,107,199,301,897
9600,342,52,1.4226983400489337,3.172611730997633,9.750275443337708,12.056778639308439,35,96,35,56,8598,0,105,194,311,878
9700,344,52,1.4058400178000698,3.1507754067151126,10.251494349151924,12.010758510440692,38,93,38,66,8769,0,102,200,304,920
9800,339,56,1.422089878349696,3.1934597657856734,10.194419446069485,12.244831514633143,38,93,37,63,8549,0,106,188,288,874
9900,335,53,1.4146877581737036,3.1642023416643172,10.08446983572004,12.001902082826115,36,96,35,61,8436,0,105,182,284,871
