tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,5,114,0,0,0,0,0,0,0,0
100,111,28,2.0202244358338564,3.1745261851979114,9.503859479922378,9.027016908768644,25,94,0,0,6288,0,264,138,140,102
200,159,33,1.9571650922023165,3.4047641046967607,17.49619378772694,12.846900172744462,25,94,0,0,7484,0,333,146,141,92
300,162,32,1.955999173080612,3.3413455151879354,18.879516448422496,13.050455511992547,26,93,0,1,7772,0,348,152,151,75
400,172,33,1.9215504061967232,3.3626191782796644,18.28884903784584,13.044986819301242,27,92,1,4,7960,0,386,144,137,67
500,166,44,1.8833611137416912,3.3177508424407067,19.35180242671766,12.776390202769035,29,90,1,8,8267,0,411,148,130,65
600,164,41,1.8859546679742047,3.3741896672903886,19.573540620353015,12.91596747155604,26,93,4,12,7686,0,361,116,131,46
700,153,46,1.8726124818493366,3.4105725398190576,19.436472084818707,12.584099023935996,24,95,6,15,7735,0,375,111,126,49
800,141,52,1.8559491304297067,3.381718056573182,19.956219201501803,12.45242137083016,23,96,7,16,7616,0,365,108,111,41
900,142,47,1.850335828993158,3.4666446435784293,20.68496576237367,12.724125212630945,23,96,9,19,7583,0,359,101,120,37
1000,156,50,1.8300898318030925,3.3965473954265817,20.32583679162976,12.798104000550342,24,95,10,19,7744,0,384,101,133,32
1100,149,54,1.8072348748153109,3.381797988902179,20.8276992509842,12.277085611429145,23,96,12,22,7706,0,389,88,135,32
1200,140,51,1.8108481905756324,3.35101255730405,22.946839060952687,12.200546262341975,22,97,13,25,7481,0,359,85,116,26
1300,142,53,1.7891964351577199,3.3521650804473024,22.1548172169716,11.955990741703781,23,96,13,27,7541,0,376,88,119,39
1400,156,51,1.768786817732734,3.400199111668187,20.23657481652303,12.420686796103059,22,97,12,26,7483,0,402,89,141,35
1500,158,44,1.7491416199700955,3.3672292345482733,19.30862443648143,12.291575944260916,23,96,15,30,7561,0,433,89,132,39
1600,165,41,1.7366604907806047,3.3880753490130218,20.802228944041726,12.524871589355378,22,97,16,31,7525,0,440,80,142,36
1700,155,41,1.7262530386798232,3.375949132880591,20.67734107614028,11.961343049980378,24,95,18,36,7469,0,448,80,133,31
1800,169,36,1.7134481435903113,3.2684868098865603,19.839124322773856,12.23254442974736,22,97,17,40,7518,0,485,81,133,29
1900,166,46,1.6961269375654302,3.3731807301968515,20.66313728782181,12.442307890058585,23,96,19,42,7381,0,462,82,123,31
2000,162,43,1.6906390144785897,3.342670813044084,19.81782260415131,11.96916734090086,22,97,18,39,7282,0,471,70,129,30
2100,166,44,1.6811230734343223,3.313796214911095,19.064974143155847,11.837389417341097,21,98,17,38,7263,0,457,74,134,32
2200,152,46,1.691060408206586,3.2979807318441283,20.28432869168442,11.286336468831664,21,98,17,39,7137,0,428,67,130,21
2300,143,43,1.6917432382558426,3.2501893283183274,21.88932667214047,11.509788809910253,21,98,17,45,6957,0,422,65,121,23
2400,151,38,1.6779182297082231,3.286681687280406,22.461659826237266,11.883211057154497,19,100,16,41,6997,0,441,58,118,20
