FROM,Cap,Role,TO,Distance
272,2.33,class Agent.Leader,148,1
272,2.33,class Agent.Leader,95,1
272,2.33,class Agent.Leader,283,1
262,2.33,class Agent.Leader,160,2
262,2.33,class Agent.Leader,476,1
262,2.33,class Agent.Leader,128,1
262,2.33,class Agent.Leader,335,1
262,2.33,class Agent.Leader,172,1
214,3.33,class Agent.Leader,131,1
214,3.33,class Agent.Leader,376,1
214,3.33,class Agent.Leader,232,1
214,3.33,class Agent.Leader,463,2
361,2.00,class Agent.Leader,278,1
361,2.00,class Agent.Leader,22,2
361,2.00,class Agent.Leader,246,1
243,3.67,class Agent.Leader,287,1
243,3.67,class Agent.Leader,133,1
243,3.67,class Agent.Leader,411,1
243,3.67,class Agent.Leader,170,2
29,2.00,class Agent.Leader,422,1
29,2.00,class Agent.Leader,199,2
29,2.00,class Agent.Leader,250,2
29,2.00,class Agent.Leader,281,2
248,2.00,class Agent.Leader,358,1
248,2.00,class Agent.Leader,48,2
248,2.00,class Agent.Leader,186,1
60,3.00,class Agent.Leader,443,2
60,3.00,class Agent.Leader,270,1
60,3.00,class Agent.Leader,493,1
60,3.00,class Agent.Leader,40,1
158,3.33,class Agent.Leader,5,1
158,3.33,class Agent.Leader,219,1
158,3.33,class Agent.Leader,298,1
158,3.33,class Agent.Leader,164,1
158,3.33,class Agent.Leader,174,2
52,2.67,class Agent.Leader,498,1
52,2.67,class Agent.Leader,495,2
52,2.67,class Agent.Leader,297,1
52,2.67,class Agent.Leader,79,2
52,2.67,class Agent.Leader,405,2
134,3.33,class Agent.Leader,337,1
134,3.33,class Agent.Leader,120,2
134,3.33,class Agent.Leader,423,1
134,3.33,class Agent.Leader,334,1
289,1.33,class Agent.Leader,309,1
289,1.33,class Agent.Leader,115,2
289,1.33,class Agent.Leader,368,1
137,3.00,class Agent.Leader,407,2
137,3.00,class Agent.Leader,452,2
137,3.00,class Agent.Leader,472,1
137,3.00,class Agent.Leader,190,2
137,3.00,class Agent.Leader,363,1
15,4.67,class Agent.Leader,407,2
15,4.67,class Agent.Leader,176,2
15,4.67,class Agent.Leader,145,1
15,4.67,class Agent.Leader,36,1
10,3.00,class Agent.Leader,430,1
10,3.00,class Agent.Leader,312,1
10,3.00,class Agent.Leader,341,2
255,4.00,class Agent.Leader,203,1
255,4.00,class Agent.Leader,287,2
255,4.00,class Agent.Leader,431,1
255,4.00,class Agent.Leader,322,1
255,4.00,class Agent.Leader,268,1
0,3.33,class Agent.Leader,300,1
0,3.33,class Agent.Leader,375,1
0,3.33,class Agent.Leader,337,1
252,3.67,class Agent.Leader,84,1
252,3.67,class Agent.Leader,247,2
252,3.67,class Agent.Leader,379,2
161,4.33,class Agent.Leader,303,1
161,4.33,class Agent.Leader,380,2
161,4.33,class Agent.Leader,464,1
241,2.00,class Agent.Leader,56,1
241,2.00,class Agent.Leader,421,1
241,2.00,class Agent.Leader,168,1
447,2.00,class Agent.Leader,176,2
447,2.00,class Agent.Leader,132,1
447,2.00,class Agent.Leader,438,1
447,2.00,class Agent.Leader,148,1
129,4.33,class Agent.Leader,25,2
