tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,reciprocity leader count,reciprocity member count,message count,overflowed task,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,7,114,0,0,0,0,0,0,0,0
100,179,42,1.953271582842243,3.196520049027737,5.606575073461667,9.09957010987562,42,78,0,0,8009,0,271,375,140,278
200,306,46,1.881613829539355,3.3335134573403464,8.118001628022721,12.879733686136863,45,75,0,0,9837,0,376,510,152,333
300,324,47,1.8619229047116916,3.281057042347678,8.238006049952336,13.260302735655557,45,75,1,3,10011,362,391,546,156,341
400,320,55,1.8380611894610703,3.2717427135049593,7.944535598920393,12.782434258998078,47,73,5,7,10209,402,406,569,143,327
500,333,68,1.8139288694240638,3.2718270459831604,7.998174192010773,13.026407990581765,48,72,8,12,10354,404,407,589,143,317
600,335,74,1.7850429893028754,3.2201095116396514,7.664064799471783,12.501458897595713,48,72,15,16,10342,392,415,616,124,314
700,341,82,1.7639217245511893,3.2756377744971967,7.533075764121524,12.539923449656017,49,71,21,18,10262,364,418,623,112,336
800,351,88,1.7609989886864543,3.2605348679328072,6.860828973043266,12.369560178688506,50,70,25,20,10201,375,427,614,116,352
900,347,96,1.7544981740833112,3.2568219541911474,6.773164950121587,12.226392694346137,52,69,28,21,10127,373,460,628,118,322
1000,354,90,1.7375826920973703,3.245779297024756,6.978811968079216,12.433302647838639,51,69,31,23,10065,334,457,633,119,344
1100,365,108,1.715698006413871,3.259181563628841,6.584959272822856,12.433822713700717,52,68,33,26,10144,326,458,628,119,335
1200,367,100,1.721777053584112,3.2326294460255607,6.028946859419545,12.260124641016926,53,67,37,28,10094,323,497,648,131,331
1300,367,114,1.7091021660626593,3.2339695254213243,5.977558391257713,12.174079053887878,51,69,38,30,10141,335,497,647,124,320
1400,382,97,1.689476663393888,3.2199965120699914,5.775154332098505,12.162292572489541,52,68,39,31,9934,299,505,667,127,349
1500,379,108,1.690390435218988,3.214692804359939,5.978508661388925,12.013846936745834,52,68,40,34,9893,334,481,658,128,344
1600,380,97,1.684157556169019,3.2078341528742125,5.854433980862894,12.158693404096216,51,69,39,33,9706,314,518,676,117,343
1700,381,104,1.6772459476618922,3.2386338535758785,5.859571985431416,12.086623880783602,52,68,41,35,9805,303,509,683,117,360
1800,397,99,1.654876353314573,3.2223893696503065,6.045783067679418,12.18752231541623,52,68,41,31,9807,322,525,699,125,342
1900,396,104,1.651277255427385,3.23414704318405,5.905990492600653,12.144828727533268,54,66,45,38,9738,296,505,698,134,343
2000,386,125,1.6497562180633814,3.2001812430111527,5.710299992582455,11.977454167439037,52,68,44,35,9811,312,505,671,120,347
2100,394,109,1.6323208022305176,3.2118225044641893,5.476911678670144,11.941528072673302,53,67,45,37,9688,285,499,708,127,344
2200,395,112,1.6345422763411859,3.195921132374281,5.458039375857563,11.91161441424204,52,68,46,36,9727,295,518,711,136,349
2300,409,103,1.6270915782063915,3.2297188452390206,5.352851115546412,11.983244793526866,54,66,48,40,9653,294,557,726,133,352
2400,416,114,1.6198946297418473,3.200448711430498,5.0104241545472545,11.939471286743544,54,66,48,39,9561,289,553,707,128,342
2500,405,98,1.6253232184950894,3.255364794222188,5.205869023491036,11.849360747119702,53,68,48,41,9316,266,563,719,126,338
2600,401,95,1.6232835483070767,3.2318040796186382,5.263927997108477,11.801881881137572,52,68,49,42,9163,285,564,725,121,321
2700,399,90,1.6211042600189294,3.222998766938817,5.0701997042321345,11.823281440719928,53,67,50,43,9090,301,571,703,114,341
2800,417,77,1.6094101308252222,3.232285502020653,4.9887504134305125,12.013634427545549,53,68,50,43,9041,290,578,741,127,379
2900,412,87,1.6103704049332348,3.223974845692694,5.252147247629117,11.957190828311024,52,68,50,44,9044,293,567,726,124,342
3000,404,90,1.6044424236911907,3.2459092749820404,5.07692886221906,11.990783336375676,53,67,51,42,8881,310,578,711,118,349
3100,413,77,1.606570268264798,3.236476410575435,4.77467851038555,11.717219558308827,53,67,51,44,8742,311,584,695,122,356
3200,404,83,1.596736112568548,3.256121428595143,4.80167887183098,11.651685332993369,51,69,49,42,8861,316,579,721,128,341
3300,389,81,1.6010456806436704,3.2981167118549526,5.090258478006055,11.837222977417634,50,70,48,39,8536,332,546,691,120,341
3400,397,77,1.5982027241643109,3.2768771930936107,5.430434128615035,12.123501427347243,50,70,48,39,8596,353,564,704,114,334
3500,384,89,1.587995237817222,3.2602652909681633,5.435858920021434,11.821808605101792,50,70,48,40,8623,329,518,688,116,342
3600,400,87,1.5756296135770582,3.25479194127752,5.100804188875553,11.706554558725923,53,68,51,45,8701,296,546,718,117,351
3700,405,88,1.5660937385994373,3.2322722748933668,5.211071623897104,11.79288343727768,52,68,50,46,8639,328,548,707,118,338
3800,391,87,1.5601391934663627,3.2108744633812862,5.331161064630509,11.78415979691363,51,69,50,45,8677,313,530,734,118,346
3900,388,90,1.5864806048026043,3.2547172096083097,5.066571207485348,11.800258904398998,51,69,49,43,8517,312,544,711,121,326
4000,408,86,1.565319895790186,3.2208226158185203,5.213803087671306,11.80657971659845,51,70,49,46,8743,307,563,730,127,329
4100,399,87,1.5573072720402426,3.2475870028463367,5.417334305042243,11.899715569088121,49,71,47,43,8654,315,536,727,117,356
4200,396,90,1.554977268003439,3.2381883322128435,5.58829716019462,11.961949287186165,49,71,48,44,8661,287,528,719,118,329
4300,395,81,1.5487499571000478,3.2090888463436387,5.820290677546725,11.804769692973993,49,71,48,43,8713,329,522,760,128,346
4400,402,77,1.5472005704158698,3.2074909757013406,6.115623303270637,12.082373456606213,50,71,48,43,8775,307,514,777,127,339
4500,414,76,1.550659241861921,3.236089084651723,6.028297189692129,12.194738678587346,49,71,48,42,8924,302,543,789,127,354
4600,408,70,1.5642125184276927,3.201951125484506,5.8152050865002005,12.096385092185649,49,71,48,43,8704,317,538,770,122,343
4700,424,75,1.5374752361075972,3.1899433685778478,5.746198860793569,12.060993144137356,49,71,48,43,9022,306,553,800,133,365
4800,419,80,1.5433024108488795,3.2086177756252927,5.870395768945907,12.11418548494746,49,71,48,44,8873,312,555,769,123,354
4900,413,86,1.5377607302677356,3.207770468309525,5.855114100675336,12.312590237248566,49,71,47,42,9072,313,534,780,117,368
5000,421,68,1.5278785874878975,3.186478156630946,6.249766537575913,12.281353488782825,48,72,46,42,9015,288,535,810,119,374
5100,418,72,1.5441356742361452,3.158243516513514,6.077352428429115,12.282987707513783,50,71,48,42,9097,301,551,802,125,368
5200,421,74,1.531013560121882,3.178945731804744,6.116931361578029,12.342493650435797,49,71,47,44,9097,297,538,812,125,366
5300,415,78,1.5330348365491804,3.2018172237245204,6.239668396966744,12.340205156648505,49,72,47,45,8925,321,514,796,124,354
5400,411,82,1.531988429798802,3.193320610206284,5.9121252347748054,12.15724749184835,48,72,47,43,9001,288,533,796,122,351
5500,419,73,1.5330126880664747,3.1645057108599035,5.856401414981929,12.102319394614751,49,71,48,45,9049,316,538,813,120,365
5600,423,73,1.5193918768906363,3.1671929856128456,6.0261841144879655,12.351949293998755,48,72,47,46,9030,306,525,819,122,350
5700,419,78,1.5255902179281344,3.173205858781264,5.90113170063034,12.084556954262002,50,71,48,46,9131,295,515,804,121,358
5800,420,82,1.5226484787471193,3.171094114080326,5.644370046772673,11.975411968803414,49,71,47,46,9252,276,534,831,122,365
5900,422,76,1.5148524439190862,3.167042963789866,5.934056832490486,12.09312829675009,49,72,47,43,9108,302,527,830,114,354
6000,431,67,1.515498303123241,3.144509122509117,5.954461778817277,12.338061333213181,49,71,47,45,9263,276,556,868,122,378
6100,438,66,1.506779875023063,3.1412568050051304,6.127429410899348,12.359084802039906,50,71,48,46,9190,293,555,860,116,381
6200,436,72,1.4985379215677566,3.1854202392519686,5.806860931653776,12.206131675187034,50,70,48,48,9251,282,553,866,103,381
6300,439,71,1.5048435728351839,3.152535425569626,5.887214198895005,12.176465241062196,50,70,48,49,9134,298,555,832,107,389
6400,418,77,1.5000850263519172,3.142368708656204,5.816603506042547,11.90579813393546,49,71,48,49,9108,301,539,837,93,381
6500,438,67,1.4938998282932718,3.1424815084743836,6.069808619483018,12.313873378623937,49,71,48,49,9142,260,562,864,93,380
6600,432,68,1.4947536321534898,3.14548664463872,6.011417429701631,12.308766282908202,48,72,47,47,8978,299,559,845,98,375
6700,422,65,1.503773276599955,3.159094579877168,5.81747101380707,11.960251258768315,47,73,46,48,8886,309,547,836,98,375
6800,428,64,1.5092624010687912,3.1338707236610235,5.974146892849498,12.015427671365268,50,71,48,50,8995,324,551,865,103,372
6900,436,61,1.5066208308375209,3.16882910924806,6.074278715597396,12.45684559446666,49,71,49,50,9031,295,567,860,110,397
7000,445,60,1.49790987517774,3.170318640354488,6.088399459537621,12.780317913505733,50,71,49,51,9070,291,576,871,118,396
7100,447,63,1.494474208504013,3.1511710247315055,5.724697439479305,12.386230941727693,49,71,49,50,9134,297,567,870,120,409
7200,448,71,1.490001749232559,3.122574361351147,5.791602160747496,12.147770032029523,49,71,49,49,9212,290,572,859,110,369
7300,445,73,1.481166542561104,3.1204892379801494,5.791287826998396,12.256917471688121,50,70,49,49,9238,282,569,882,113,397
7400,449,77,1.4873299388902015,3.120551019700236,5.704123246134852,12.003327866212466,49,71,49,47,9195,272,552,854,113,415
7500,435,71,1.4961229321676137,3.184709721220733,5.509331317809687,12.07494798055478,50,71,49,49,8956,298,563,825,116,387
7600,429,88,1.496211891910088,3.147911651145134,5.667504849285374,11.945506500790145,49,71,49,48,9133,289,552,835,119,373
7700,433,89,1.4776942388393346,3.1427633923434475,5.981042444227724,11.983576714831297,49,71,48,49,9180,276,549,868,109,344
7800,426,78,1.4849171261809662,3.1642295049420115,5.889750235480526,11.840163389162088,49,71,48,48,9101,308,571,839,105,366
7900,444,72,1.4744045782719724,3.167422630865086,5.797535072329015,12.093279948218449,48,73,47,45,9066,293,579,867,102,373
8000,430,74,1.4741380370567054,3.1766462765408,5.8309694183082215,12.15118598539157,49,71,49,47,8964,289,575,848,102,368
8100,437,70,1.465175672506997,3.1745923435991363,5.889317723068782,12.255926483071162,49,71,49,49,9037,287,571,855,101,379
8200,439,64,1.466460247957376,3.1363823016341956,5.933471366119683,12.224784351827577,48,73,47,48,9024,302,563,879,102,369
8300,435,60,1.462145247323881,3.1639347890813325,6.662392203662308,12.714466368725557,47,74,46,45,8925,308,557,885,101,350
8400,426,73,1.4609560139552207,3.167297060953031,6.204131369027292,12.174354256662905,47,73,47,47,9014,313,553,857,102,346
8500,427,60,1.4603242833659527,3.1663603281411916,6.2714118438519915,12.255873970737815,47,74,46,45,8806,322,557,865,105,354
8600,440,62,1.4812142561485075,3.1404571408792346,6.116839666153113,12.333748175801741,47,73,47,46,9090,292,567,856,110,378
8700,430,58,1.469235137081982,3.1740516456036563,6.140458278484471,12.486073779307628,46,74,46,46,8877,314,540,863,105,372
8800,425,56,1.4671598656761407,3.1433679042974365,6.0164360812036675,12.176947089507017,47,73,47,51,9007,330,553,860,103,368
8900,438,68,1.456725419006631,3.118636978620887,6.2333141586,12.294722040311092,46,74,46,47,8975,304,536,880,96,369
9000,419,72,1.4661223722297965,3.1313900525360134,5.942746134995628,11.973576032956665,48,72,48,48,8967,292,528,839,109,374
9100,429,62,1.4560407220292968,3.1239500612890514,6.010858343731727,11.913229089614653,47,73,47,46,8951,313,549,877,106,371
9200,436,68,1.4470224920715717,3.119615597738152,6.02148000443801,12.310883028373324,48,72,48,51,9025,293,549,877,98,369
9300,436,68,1.445048637229953,3.1665059560942814,6.419933556181812,12.453999001519879,48,72,48,50,9023,287,540,886,94,389
9400,446,67,1.4287889362345272,3.1259270088213382,6.290320958816028,12.208633728584152,48,72,48,50,9082,305,539,903,102,388
9500,444,70,1.4482767444367561,3.1206111661268467,5.948250280724376,12.361746418173416,49,71,49,52,9179,291,563,897,106,394
9600,448,71,1.4394681147341937,3.1461894300448927,5.904572578374018,12.230819148691937,49,72,48,50,9111,294,559,886,96,392
9700,442,81,1.4427644540165163,3.1504327962735696,5.683794597342889,12.123966412798984,48,72,48,49,9241,258,568,865,99,394
9800,433,68,1.4394332691032223,3.1534937550955044,5.738085800468701,12.193411294690831,48,72,48,50,8959,301,554,856,106,393
9900,438,79,1.4394810000287803,3.1242592419472595,5.736141898824526,12.09684607520517,49,71,49,52,9119,280,542,884,101,385
