tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,2,113,0,0,0,0
100,28,6,1.9027720035029032,1.4437222222222224,2.5215277777777776,5.509138888888889,50,65,63,56,26,18
200,54,93,2.1085350791470847,1.6934166666666668,3.736416666666666,6.858083333333333,25,90,67,70,60,59
300,102,85,1.9760393749147882,1.0150046897546898,4.858342712842714,8.401625180375177,36,79,138,94,127,69
400,73,22,1.9903333856824261,1.1382738095238094,6.471095238095236,7.512380952380953,42,73,83,81,107,59
500,97,16,1.9967624197731046,1.11275,5.080972222222223,7.6498333333333335,45,70,108,106,115,57
600,91,28,2.0164361262653796,1.010214285714286,4.310261904761905,7.843571428571429,47,68,115,126,88,47
700,85,11,2.020725482434544,1.0584404761904767,4.153444444444443,7.1736666666666675,46,69,126,112,80,60
800,75,14,1.9776637981794623,1.267404761904762,4.480857142857143,7.053833333333334,45,70,98,99,73,42
900,68,5,1.9509189149908392,1.2907976190476194,4.6805,6.664583333333333,45,70,97,87,78,38
1000,66,6,1.92679453973187,1.4100476190476194,4.191261904761904,6.786309523809524,43,72,89,84,57,35
1100,44,2,1.9390008936660665,1.7421904761904765,5.803380952380951,5.72857142857143,44,71,74,53,44,21
1200,34,2,2.0523650675385388,1.5475,4.5395,5.597666666666668,42,73,36,62,34,4
1300,23,2,1.9743352977450608,1.9576666666666664,4.178166666666667,5.1626666666666665,43,72,43,29,28,5
1400,35,2,1.9572936846155147,2.0109999999999997,4.402833333333333,6.024833333333333,44,71,70,50,33,5
1500,35,0,1.912225511169985,1.6264999999999998,3.6308333333333334,5.8773333333333335,43,72,70,51,26,7
1600,30,1,1.9241566119937696,1.9039999999999997,3.5243333333333333,4.953333333333334,43,72,70,41,16,5
1700,30,1,1.9277426997424123,1.7394999999999998,4.231333333333334,4.763999999999999,44,71,78,42,17,7
1800,42,0,1.743945577709408,1.6206666666666671,5.0553333333333335,5.366666666666665,44,71,127,39,16,9
1900,46,0,1.781186716114874,1.555547619047619,4.800571428571429,5.613809523809523,45,70,128,49,29,11
2000,43,2,1.8430066913858443,1.6016666666666668,5.040666666666666,6.148666666666665,44,71,114,47,33,6
2100,44,3,1.8133092450819208,1.3728333333333333,3.132833333333333,5.206500000000001,45,70,129,43,24,7
2200,52,3,1.8330510803464193,1.6452142857142857,3.8285,5.721666666666668,45,70,124,60,31,6
2300,50,0,1.823989291434463,1.7706666666666668,4.566285714285716,6.026714285714286,45,70,134,55,29,9
2400,44,0,1.9165567908338061,1.649,3.0866666666666664,6.013000000000002,44,71,85,64,35,8
2500,47,0,1.8515387436949933,1.5564761904761908,4.2956666666666665,5.542333333333333,45,70,121,63,24,6
2600,52,0,1.7787844461848166,1.5861190476190474,5.739595238095238,6.133678571428572,45,70,136,55,28,11
2700,51,1,1.794887258371569,1.5668095238095237,4.632428571428571,5.949738095238096,45,70,131,59,25,6
2800,49,1,1.7747726133428452,1.672523809523809,4.4770714285714295,5.944285714285713,44,71,144,51,23,11
2900,44,4,1.728410739925409,1.7918333333333336,4.5008333333333335,5.172166666666667,45,70,118,41,22,2
3000,53,0,1.7977940873169331,1.6063333333333332,4.90575,5.979666666666666,45,70,141,53,32,9
3100,51,2,1.7631646583900484,1.4995000000000003,4.4910000000000005,5.707833333333334,44,71,133,55,26,8
3200,42,0,1.7322561127551201,1.7293333333333334,4.740666666666667,5.464166666666667,44,71,116,33,24,1
3300,39,1,1.770589676400859,1.5541904761904763,4.590380952380952,5.175738095238095,43,72,102,36,27,3
3400,40,0,1.8447542011322684,1.4650000000000003,3.2870000000000004,5.175,45,70,89,51,28,8
3500,37,2,1.8749154061167252,1.562666666666667,3.895,5.159,43,72,102,41,18,2
3600,39,2,1.8721464531185052,2.0713333333333335,4.247,5.693666666666665,45,70,98,49,27,7
3700,53,1,1.793213335876814,1.5214761904761906,3.9647619047619047,6.283142857142858,44,71,117,67,33,17
3800,45,0,1.8134070588646296,1.4946904761904762,4.0453095238095225,5.847904761904761,45,70,105,56,30,9
3900,51,0,1.7700098416588637,1.8589761904761908,4.711333333333334,6.404142857142857,45,70,139,61,28,7
4000,43,0,1.7435175169037018,1.6913333333333338,4.156833333333333,5.423166666666666,42,73,118,41,22,7
4100,29,0,1.9183541326091633,1.8792499999999999,4.071333333333333,5.157583333333334,45,70,84,46,14,6
4200,39,0,1.8682843075882856,1.5905,3.131833333333333,5.339166666666666,43,72,85,48,34,5
4300,43,2,1.7283113605723557,1.4698333333333335,3.855833333333335,5.148833333333332,45,70,125,42,29,7
4400,51,3,1.7695106796554156,1.4688333333333334,4.465166666666667,5.884000000000002,45,70,141,58,26,10
4500,48,4,1.7597476746679765,1.4851071428571427,3.4820238095238096,5.372047619047619,44,71,121,59,28,7
4600,38,1,1.896949180251678,1.7431904761904757,2.975690476190477,5.586738095238096,44,71,84,54,25,7
4700,47,0,1.800853574369123,1.5761666666666667,3.4851666666666663,5.786666666666667,45,70,101,64,31,7
4800,55,1,1.6972823923033693,1.4151904761904763,4.111833333333333,5.518238095238096,45,70,143,58,29,6
4900,44,1,1.688759069941507,1.499666666666667,3.943642857142858,5.65,43,72,125,42,21,3
5000,42,1,1.6507203896522011,1.5855000000000001,3.3666666666666663,5.101833333333333,45,70,113,33,23,5
5100,51,2,1.7334657016300983,1.4633571428571428,4.2889285714285705,5.492000000000001,45,70,138,57,29,8
5200,55,2,1.7457929290989003,1.5227619047619052,4.570166666666668,5.7458333333333345,45,70,133,64,34,7
5300,54,1,1.743771605592251,1.5197698412698415,4.878650793650794,5.9679206349206355,45,70,144,62,36,9
5400,54,2,1.7577147138665512,1.4606428571428574,4.022238095238095,5.535095238095238,45,70,133,60,28,9
5500,43,1,1.7079556987938442,1.5423333333333336,3.205833333333333,5.263999999999999,43,72,112,49,20,5
5600,43,2,1.6867657457778986,1.6980000000000002,3.7491666666666674,5.171,44,71,121,49,23,9
5700,35,1,1.9444509434385635,1.71,3.106666666666667,5.755,44,71,54,60,25,9
5800,43,0,1.7851431778910394,1.8228809523809526,3.792690476190476,5.8421190476190485,45,70,117,60,25,9
5900,46,0,1.666703161933968,1.659642857142857,4.560841269841269,5.874452380952379,44,71,121,41,33,6
6000,40,0,1.7515757612167746,1.4579999999999997,3.8801666666666677,5.586166666666667,44,71,97,52,24,8
6100,51,1,1.7271148654291009,1.4946666666666666,3.4337380952380956,5.7983809523809535,44,71,125,65,32,12
6200,41,1,1.8036242724693778,1.6646904761904762,3.986476190476192,5.725833333333332,45,70,106,64,29,5
6300,54,0,1.6719069571149354,1.6240238095238089,3.879047619047621,6.240380952380953,45,70,148,54,28,13
6400,52,1,1.680878441565925,1.7464999999999995,4.469,6.249166666666665,45,70,139,57,28,5
6500,50,3,1.6754510717637445,1.4799999999999998,4.357,5.527666666666668,45,70,145,48,26,3
6600,51,0,1.6697083896923508,1.532166666666667,4.705000000000001,5.440666666666666,44,71,141,50,18,6
6700,51,0,1.702088864514395,1.602666666666667,4.561722222222222,5.779000000000001,45,70,148,52,29,7
6800,50,1,1.711166523902416,1.6441190476190473,4.220690476190476,5.8490238095238105,45,70,148,56,32,4
6900,45,0,1.6796793099021534,1.4884166666666667,4.445,5.1714166666666666,43,72,141,41,11,2
7000,46,0,1.6429810643806464,1.7925,4.319666666666667,5.399333333333333,45,70,133,50,20,4
