FROM,Cap,Role,TO,Distance
165,2.67,class Agent.Leader,379,3
165,2.67,class Agent.Leader,438,1
165,2.67,class Agent.Leader,285,1
165,2.67,class Agent.Leader,331,3
270,3.67,class Agent.Leader,461,1
270,3.67,class Agent.Leader,287,2
270,3.67,class Agent.Leader,230,1
270,3.67,class Agent.Leader,23,1
270,3.67,class Agent.Leader,328,2
151,4.00,class Agent.Leader,8,1
151,4.00,class Agent.Leader,148,1
151,4.00,class Agent.Leader,271,2
151,4.00,class Agent.Leader,24,1
151,4.00,class Agent.Leader,316,1
282,4.00,class Agent.Leader,115,1
282,4.00,class Agent.Leader,313,1
282,4.00,class Agent.Leader,452,1
0,3.33,class Agent.Leader,65,2
0,3.33,class Agent.Leader,372,2
0,3.33,class Agent.Leader,61,2
0,3.33,class Agent.Leader,9,2
414,3.00,class Agent.Leader,361,2
414,3.00,class Agent.Leader,338,3
414,3.00,class Agent.Leader,54,1
18,2.33,class Agent.Leader,492,2
18,2.33,class Agent.Leader,120,1
18,2.33,class Agent.Leader,421,1
18,2.33,class Agent.Leader,244,1
371,3.33,class Agent.Leader,163,1
371,3.33,class Agent.Leader,338,3
371,3.33,class Agent.Leader,180,1
371,3.33,class Agent.Leader,66,1
103,2.67,class Agent.Leader,141,2
103,2.67,class Agent.Leader,245,2
103,2.67,class Agent.Leader,61,2
356,2.67,class Agent.Leader,204,1
356,2.67,class Agent.Leader,482,1
356,2.67,class Agent.Leader,312,1
356,2.67,class Agent.Leader,365,2
356,2.67,class Agent.Leader,242,2
112,2.00,class Agent.Leader,184,1
112,2.00,class Agent.Leader,432,1
112,2.00,class Agent.Leader,63,1
112,2.00,class Agent.Leader,39,2
112,2.00,class Agent.Leader,183,1
59,2.33,class Agent.Leader,337,2
59,2.33,class Agent.Leader,495,1
59,2.33,class Agent.Leader,301,1
59,2.33,class Agent.Leader,456,2
59,2.33,class Agent.Leader,1,2
273,2.33,class Agent.Leader,259,1
273,2.33,class Agent.Leader,211,3
273,2.33,class Agent.Leader,62,2
273,2.33,class Agent.Leader,265,1
481,2.33,class Agent.Leader,487,2
481,2.33,class Agent.Leader,3,1
481,2.33,class Agent.Leader,37,2
481,2.33,class Agent.Leader,70,1
109,2.00,class Agent.Leader,211,2
109,2.00,class Agent.Leader,141,2
109,2.00,class Agent.Leader,434,1
109,2.00,class Agent.Leader,311,2
109,2.00,class Agent.Leader,101,1
239,2.67,class Agent.Leader,65,1
239,2.67,class Agent.Leader,364,2
239,2.67,class Agent.Leader,423,1
239,2.67,class Agent.Leader,391,2
239,2.67,class Agent.Leader,54,1
16,2.00,class Agent.Leader,187,3
16,2.00,class Agent.Leader,344,1
16,2.00,class Agent.Leader,383,2
450,3.00,class Agent.Leader,241,1
450,3.00,class Agent.Leader,113,2
450,3.00,class Agent.Leader,133,3
88,2.67,class Agent.Leader,464,2
88,2.67,class Agent.Leader,43,1
88,2.67,class Agent.Leader,317,1
88,2.67,class Agent.Leader,408,2
88,2.67,class Agent.Leader,48,1
422,2.33,class Agent.Leader,488,1
422,2.33,class Agent.Leader,398,2
422,2.33,class Agent.Leader,13,3
96,3.00,class Agent.Leader,439,1
96,3.00,class Agent.Leader,213,1
96,3.00,class Agent.Leader,420,1
96,3.00,class Agent.Leader,427,3
192,3.00,class Agent.Leader,35,3
192,3.00,class Agent.Leader,329,1
192,3.00,class Agent.Leader,477,2
192,3.00,class Agent.Leader,187,2
190,3.33,class Agent.Leader,262,2
190,3.33,class Agent.Leader,330,2
190,3.33,class Agent.Leader,394,1
190,3.33,class Agent.Leader,203,1
190,3.33,class Agent.Leader,300,1
353,2.67,class Agent.Leader,82,1
353,2.67,class Agent.Leader,91,1
353,2.67,class Agent.Leader,394,1
353,2.67,class Agent.Leader,130,2
455,2.00,class Agent.Leader,65,3
455,2.00,class Agent.Leader,129,3
455,2.00,class Agent.Leader,131,1
147,3.67,class Agent.Leader,250,1
147,3.67,class Agent.Leader,131,1
147,3.67,class Agent.Leader,191,1
147,3.67,class Agent.Leader,325,2
147,3.67,class Agent.Leader,69,2
327,1.33,class Agent.Leader,38,1
327,1.33,class Agent.Leader,150,1
327,1.33,class Agent.Leader,424,1
327,1.33,class Agent.Leader,160,2
40,3.67,class Agent.Leader,499,2
40,3.67,class Agent.Leader,164,1
40,3.67,class Agent.Leader,315,2
40,3.67,class Agent.Leader,318,1
387,1.67,class Agent.Leader,221,2
387,1.67,class Agent.Leader,235,2
387,1.67,class Agent.Leader,137,3
334,3.00,class Agent.Leader,237,3
334,3.00,class Agent.Leader,463,3
334,3.00,class Agent.Leader,1,1
123,2.00,class Agent.Leader,298,2
123,2.00,class Agent.Leader,475,1
123,2.00,class Agent.Leader,420,2
123,2.00,class Agent.Leader,101,1
236,3.33,class Agent.Leader,264,2
236,3.33,class Agent.Leader,136,1
236,3.33,class Agent.Leader,431,2
236,3.33,class Agent.Leader,274,1
484,1.67,class Agent.Leader,384,2
484,1.67,class Agent.Leader,136,1
484,1.67,class Agent.Leader,260,1
484,1.67,class Agent.Leader,75,1
484,1.67,class Agent.Leader,283,1
193,2.00,class Agent.Leader,461,2
193,2.00,class Agent.Leader,297,1
193,2.00,class Agent.Leader,168,1
193,2.00,class Agent.Leader,391,2
193,2.00,class Agent.Leader,470,1
333,1.33,class Agent.Leader,358,1
333,1.33,class Agent.Leader,460,2
333,1.33,class Agent.Leader,51,1
333,1.33,class Agent.Leader,242,2
454,1.33,class Agent.Leader,345,1
454,1.33,class Agent.Leader,326,1
454,1.33,class Agent.Leader,347,1
454,1.33,class Agent.Leader,249,2
449,1.33,class Agent.Leader,320,1
449,1.33,class Agent.Leader,79,2
449,1.33,class Agent.Leader,240,2
341,2.67,class Agent.Leader,312,1
341,2.67,class Agent.Leader,497,2
341,2.67,class Agent.Leader,104,2
276,1.67,class Agent.Leader,485,1
