FROM,Cap,Role,TO,Distance
339,3.33,class Agent.Leader,335,1
339,3.33,class Agent.Leader,13,1
339,3.33,class Agent.Leader,347,1
339,3.33,class Agent.Leader,90,1
339,3.33,class Agent.Leader,233,1
125,3.00,class Agent.Leader,3,1
125,3.00,class Agent.Leader,105,1
125,3.00,class Agent.Leader,67,1
125,3.00,class Agent.Leader,372,1
125,3.00,class Agent.Leader,255,1
125,3.00,class Agent.Leader,457,1
125,3.00,class Agent.Leader,72,1
125,3.00,class Agent.Leader,405,1
216,2.00,class Agent.Leader,386,1
216,2.00,class Agent.Leader,22,1
216,2.00,class Agent.Leader,232,1
216,2.00,class Agent.Leader,410,1
216,2.00,class Agent.Leader,408,1
216,2.00,class Agent.Leader,213,2
166,3.33,class Agent.Leader,84,1
166,3.33,class Agent.Leader,27,1
166,3.33,class Agent.Leader,97,1
166,3.33,class Agent.Leader,307,1
166,3.33,class Agent.Leader,234,1
212,2.00,class Agent.Leader,242,2
212,2.00,class Agent.Leader,378,1
212,2.00,class Agent.Leader,249,1
212,2.00,class Agent.Leader,79,2
212,2.00,class Agent.Leader,408,1
321,4.00,class Agent.Leader,172,1
321,4.00,class Agent.Leader,291,1
321,4.00,class Agent.Leader,154,1
321,4.00,class Agent.Leader,47,1
321,4.00,class Agent.Leader,266,2
321,4.00,class Agent.Leader,298,1
321,4.00,class Agent.Leader,277,1
292,2.67,class Agent.Leader,102,1
292,2.67,class Agent.Leader,286,1
292,2.67,class Agent.Leader,220,1
292,2.67,class Agent.Leader,349,1
292,2.67,class Agent.Leader,318,1
292,2.67,class Agent.Leader,51,1
59,2.33,class Agent.Leader,301,1
59,2.33,class Agent.Leader,23,1
59,2.33,class Agent.Leader,488,1
59,2.33,class Agent.Leader,285,1
59,2.33,class Agent.Leader,203,1
334,3.00,class Agent.Leader,1,1
334,3.00,class Agent.Leader,162,1
334,3.00,class Agent.Leader,141,1
334,3.00,class Agent.Leader,427,1
334,3.00,class Agent.Leader,261,1
334,3.00,class Agent.Leader,316,1
334,3.00,class Agent.Leader,180,1
76,2.67,class Agent.Leader,246,1
76,2.67,class Agent.Leader,370,1
76,2.67,class Agent.Leader,445,1
76,2.67,class Agent.Leader,250,1
76,2.67,class Agent.Leader,465,1
76,2.67,class Agent.Leader,215,1
4,2.67,class Agent.Leader,223,1
4,2.67,class Agent.Leader,38,1
4,2.67,class Agent.Leader,489,1
4,2.67,class Agent.Leader,328,1
4,2.67,class Agent.Leader,460,2
169,3.67,class Agent.Leader,124,1
169,3.67,class Agent.Leader,448,1
169,3.67,class Agent.Leader,297,1
169,3.67,class Agent.Leader,420,1
169,3.67,class Agent.Leader,87,1
132,3.33,class Agent.Leader,70,1
132,3.33,class Agent.Leader,372,1
132,3.33,class Agent.Leader,24,1
132,3.33,class Agent.Leader,180,1
132,3.33,class Agent.Leader,187,1
248,2.00,class Agent.Leader,12,1
248,2.00,class Agent.Leader,344,1
248,2.00,class Agent.Leader,160,1
248,2.00,class Agent.Leader,455,1
248,2.00,class Agent.Leader,439,1
402,3.33,class Agent.Leader,398,1
402,3.33,class Agent.Leader,336,1
402,3.33,class Agent.Leader,415,1
402,3.33,class Agent.Leader,286,1
402,3.33,class Agent.Leader,52,1
402,3.33,class Agent.Leader,498,1
371,3.33,class Agent.Leader,395,1
371,3.33,class Agent.Leader,314,1
371,3.33,class Agent.Leader,269,1
371,3.33,class Agent.Leader,346,1
371,3.33,class Agent.Leader,163,1
473,4.00,class Agent.Leader,452,1
473,4.00,class Agent.Leader,445,1
473,4.00,class Agent.Leader,149,1
473,4.00,class Agent.Leader,250,1
473,4.00,class Agent.Leader,69,1
473,4.00,class Agent.Leader,403,1
73,2.33,class Agent.Leader,227,1
73,2.33,class Agent.Leader,282,1
73,2.33,class Agent.Leader,443,1
73,2.33,class Agent.Leader,444,1
73,2.33,class Agent.Leader,228,1
73,2.33,class Agent.Leader,170,1
73,2.33,class Agent.Leader,233,1
490,2.67,class Agent.Leader,279,1
490,2.67,class Agent.Leader,437,1
490,2.67,class Agent.Leader,195,1
490,2.67,class Agent.Leader,468,1
490,2.67,class Agent.Leader,303,1
429,1.67,class Agent.Leader,398,1
429,1.67,class Agent.Leader,172,1
429,1.67,class Agent.Leader,336,1
429,1.67,class Agent.Leader,5,1
429,1.67,class Agent.Leader,181,1
429,1.67,class Agent.Leader,160,1
