AgentID,Cap,Role,Count,TO,Cap,Distance
339,3.33,class Agent.Leader,5,335,3.67,1,13,2.33,1,347,2.67,1,90,3.33,1,233,3.67,1
125,3.00,class Agent.Leader,8,3,2.67,1,105,3.00,1,67,2.33,1,372,4.67,1,255,4.00,1,457,3.33,1,72,2.33,1,405,4.00,1
216,2.00,class Agent.Leader,6,386,4.00,1,22,2.00,1,232,3.67,1,410,3.67,1,408,2.00,1,213,4.00,2
166,3.33,class Agent.Leader,5,84,3.00,1,27,2.33,1,97,3.33,1,307,4.33,1,234,4.67,1
212,2.00,class Agent.Leader,5,242,3.00,2,378,2.67,1,249,4.33,1,79,3.00,2,408,2.00,1
321,4.00,class Agent.Leader,7,172,3.67,1,291,2.67,1,154,2.67,1,47,4.00,1,266,2.67,2,298,3.33,1,277,3.00,1
292,2.67,class Agent.Leader,6,102,2.67,1,286,4.33,1,220,1.67,1,349,3.00,1,318,2.00,1,51,3.00,1
59,2.33,class Agent.Leader,5,301,2.33,1,23,2.67,1,488,4.00,1,285,2.33,1,203,3.33,1
334,3.00,class Agent.Leader,7,1,2.33,1,162,3.33,1,141,3.33,1,427,3.33,1,261,4.00,1,316,3.00,1,180,4.00,1
76,2.67,class Agent.Leader,6,246,3.00,1,370,3.33,1,445,4.00,1,250,2.67,1,465,2.33,1,215,3.33,1
4,2.67,class Agent.Leader,5,223,4.00,1,38,3.33,1,489,3.33,1,328,2.00,1,460,3.33,2
169,3.67,class Agent.Leader,5,124,2.67,1,448,3.00,1,297,2.33,1,420,3.33,1,87,3.00,1
132,3.33,class Agent.Leader,5,70,3.67,1,372,4.67,1,24,4.67,1,180,4.00,1,187,3.33,1
248,2.00,class Agent.Leader,5,12,4.33,1,344,2.00,1,160,3.67,1,455,2.00,1,439,3.33,1
402,3.33,class Agent.Leader,6,398,4.33,1,336,3.33,1,415,2.33,1,286,4.33,1,52,2.67,1,498,3.00,1
371,3.33,class Agent.Leader,5,395,4.00,1,314,2.33,1,269,2.33,1,346,2.67,1,163,2.67,1
473,4.00,class Agent.Leader,6,452,3.67,1,445,4.00,1,149,4.00,1,250,2.67,1,69,4.67,1,403,3.00,1
73,2.33,class Agent.Leader,7,227,3.67,1,282,4.00,1,443,3.00,1,444,2.00,1,228,2.67,1,170,3.67,1,233,3.67,1
490,2.67,class Agent.Leader,5,279,3.33,1,437,4.00,1,195,1.67,1,468,2.67,1,303,4.33,1
429,1.67,class Agent.Leader,7,398,4.33,1,172,3.67,1,336,3.33,1,5,3.67,1,181,2.67,1,160,3.67,1,168,3.67,1
108,2.67,class Agent.Leader,6,95,3.33,1,221,3.00,1,135,3.67,1,467,2.67,1,322,3.67,1,28,2.33,1
333,1.33,class Agent.Leader,6,336,3.33,1,126,3.33,1,420,3.33,1,56,3.67,1,200,3.00,1,460,3.33,2
256,4.33,class Agent.Leader,7,393,3.33,1,426,3.00,1,325,3.33,1,140,3.67,1,135,3.67,1,340,1.67,1,472,3.33,1
412,3.33,class Agent.Leader,4,349,3.00,1,156,2.67,1,46,3.00,1,294,2.33,1
182,3.33,class Agent.Leader,4,295,2.67,1,222,2.33,1,251,3.00,2,457,3.33,1
190,3.33,class Agent.Leader,6,300,1.33,1,437,4.00,1,259,3.00,1,34,3.00,1,394,3.67,1,379,3.33,1
343,2.33,class Agent.Leader,7,245,4.00,1,179,3.33,1,258,2.67,1,368,4.00,1,24,4.67,1,316,3.00,1,479,2.33,1
462,2.67,class Agent.Leader,5,5,3.67,1,306,3.33,1,40,3.67,1,26,4.00,1,396,2.67,1
355,3.00,class Agent.Leader,5,391,3.67,1,480,4.33,1,191,4.00,1,264,2.67,1,111,2.67,1
449,1.33,class Agent.Leader,7,430,4.00,1,198,4.00,1,456,3.33,1,204,3.00,1,320,2.67,1,79,3.00,2,226,4.33,1
425,3.33,class Agent.Leader,4,401,2.67,1,141,3.33,1,234,4.67,1,477,4.00,1
375,2.33,class Agent.Leader,6,162,3.33,1,245,4.00,1,261,4.00,1,99,3.33,1,392,3.33,2,337,3.33,1
281,4.00,class Agent.Leader,7,401,2.67,1,137,3.00,1,234,4.67,1,82,4.67,1,161,4.33,1,142,3.67,1,173,4.00,1
192,3.00,class Agent.Leader,5,113,3.33,1,415,2.33,1,28,2.33,1,329,3.33,1,470,4.00,1
289,1.33,class Agent.Leader,6,239,2.67,1,35,3.67,1,309,3.67,1,82,4.67,1,142,3.67,1,407,3.33,2
