tick,communication time
0,0.01
100,1.9862914264671179
200,2.008493628388957
300,1.9964067782572343
400,1.9894844807445355
500,1.9765429568051667
600,1.9677902973207038
700,1.9588412980722731
800,1.9493533407281796
900,1.9400504219217456
1000,1.9318557622678687
1100,1.9235071965749029
1200,1.9206187122159895
1300,1.9170455811555152
1400,1.9147594151758198
1500,1.912203924631803
1600,1.9072923981897683
1700,1.9026205075972709
1800,1.89836681747255
1900,1.8940064932518401
2000,1.889643261935688
2100,1.8857451225612432
2200,1.8813063021760947
2300,1.8771696305598429
2400,1.8725575229993172
2500,1.8677179193258624
2600,1.863656876666005
2700,1.8598520252459663
2800,1.8554739213849485
2900,1.8520804203296166
3000,1.8484347850620049
3100,1.8450549148333197
3200,1.841999217203151
3300,1.8386129315378696
3400,1.8349347921699428
3500,1.831426532670937
3600,1.828540705153016
3700,1.8256202652098559
3800,1.8229005644462786
3900,1.8198649114497691
4000,1.815953940966397
4100,1.8122402521348997
4200,1.8089725452059708
4300,1.8059659351665749
4400,1.8033194482697774
4500,1.8006274339585076
4600,1.797738651040105
4700,1.7953255435793958
4800,1.7927390590605319
4900,1.7900835668806168
5000,1.787895695479674
5100,1.785725426341227
5200,1.7828640451765205
5300,1.7803516820904683
5400,1.777423688497735
5500,1.7738454004155892
5600,1.7709382871206782
5700,1.768260202974314
5800,1.7656213186212637
5900,1.7629772658604446
6000,1.7607522214589244
6100,1.758392419383529
6200,1.7561201339398747
6300,1.7539176727922114
6400,1.7518073911683754
6500,1.7498929664231184
6600,1.7478769887086694
6700,1.7460316689186652
6800,1.7441743588250094
6900,1.7422845094195092
7000,1.7402630372112247
7100,1.737725219044004
7200,1.7353176304425295
7300,1.7332789065212943
7400,1.7312011272374812
7500,1.7293079733826486
7600,1.727254254397182
7700,1.7251876325559323
7800,1.7231346069864293
7900,1.7209705739686145
8000,1.718622160786774
8100,1.7163586617466817
8200,1.714294323803877
8300,1.712421084841038
8400,1.7105804057564733
8500,1.7088443515356608
8600,1.706962384858411
8700,1.7049701267444357
8800,1.7032112457879582
8900,1.701596192180832
9000,1.7000216699351884
9100,1.6982219147489146
9200,1.6962521564256434
9300,1.6943186331566114
9400,1.6925095941115698
9500,1.6908795286854803
9600,1.689311484612434
9700,1.687791474218389
9800,1.6864229995328972
9900,1.6846749617762211
10000,1.682314455651921
10100,1.680249577402959
10200,1.678306702575573
10300,1.676409152014309
10400,1.6748448889710772
10500,1.6732224506127318
10600,1.671635451891308
10700,1.670058662066338
10800,1.6681435207610351
10900,1.6659461742362418
11000,1.6639766513573824
11100,1.6620819363944253
11200,1.6604348334900403
11300,1.6588369135349534
11400,1.657244318590445
11500,1.6553450486089392
11600,1.6533099285592139
11700,1.6510542248255797
11800,1.6489969627693306
11900,1.647207719735522
12000,1.6453971825500928
12100,1.6437373789265204
12200,1.6421243661380058
12300,1.6405305222822613
12400,1.639116912922661
12500,1.6377406720297376
12600,1.63613922838556
12700,1.6343128388030508
12800,1.6324644734133154
12900,1.6309116036533962
13000,1.6294313793748711
13100,1.6275512979356483
13200,1.6254367747599272
13300,1.6232114308723518
13400,1.6213093413346686
13500,1.619611750437666
13600,1.6178802971974442
13700,1.61616090076738
13800,1.614082635501721
13900,1.612188902172289
14000,1.6103686395484913
14100,1.6085402504612731
14200,1.606828129965597
14300,1.6050313111326793
14400,1.6032092435750673
14500,1.601412524692347
14600,1.5997378399102635
14700,1.5979542780069513
14800,1.5959043912142803
14900,1.5939587609527135
15000,1.592153057546957
15100,1.5904159026251756
15200,1.5886769416350006
15300,1.5868401261277603
15400,1.585082222122951
15500,1.5834361579599467
15600,1.5815681015027712
15700,1.579794560264793
15800,1.5780268444448844
15900,1.5762359849939447
16000,1.5745724113389183
16100,1.5729487039836485
16200,1.5712756387412745
16300,1.569556942277155
16400,1.567855861652965
16500,1.5663547626301293
16600,1.5647151047528214
16700,1.5631590560523536
16800,1.5615657614538236
16900,1.5601098609319382
17000,1.5586413246076043
17100,1.5570806367854095
17200,1.5555306080434028
17300,1.5538956338485588
17400,1.5524067606389322
17500,1.5508240240857953
17600,1.5492714764131872
17700,1.5476652593923337
17800,1.5460749636466948
17900,1.5446031604033528
18000,1.543112849418753
18100,1.5417193602081554
18200,1.5402636430758034
18300,1.5388457356941156
18400,1.537397892930037
18500,1.5358613916304764
18600,1.5343520169692846
18700,1.5329078447654236
18800,1.5315102194704044
18900,1.5301000952367034
19000,1.5286286830347848
19100,1.527153794641671
19200,1.5256913145698658
19300,1.524179947391472
19400,1.522788234015215
19500,1.5212272690923854
19600,1.5197528709888182
19700,1.5183839424356527
19800,1.5169969183134102
19900,1.515670291528436
20000,1.5143826803070715
20100,1.5130389285102916
20200,1.5116980017921549
20300,1.510397652014856
20400,1.5091833589848915
20500,1.5079048687279197
20600,1.5067001205242567
20700,1.5055415789309559
20800,1.504425220578975
20900,1.5032579889965842
21000,1.502067971795778
21100,1.50083224861662
21200,1.4996099382161439
21300,1.4984404151405102
21400,1.4972623040259956
21500,1.4961048585227061
21600,1.4948785308249077
21700,1.4936658736115889
21800,1.4924221929513815
21900,1.4912445211245318
22000,1.4900516421520626
22100,1.488917868379429
22200,1.4877974714663256
22300,1.4867140966081585
22400,1.485612805234939
22500,1.4844934600896387
22600,1.4833725056995966
22700,1.482269349922885
22800,1.481184038315368
22900,1.4800649989493473
23000,1.4789846163492464
23100,1.4779733720234856
23200,1.476937754080941
23300,1.475905209325372
23400,1.4748365516942732
23500,1.473747460815986
23600,1.4726694387777846
23700,1.4716005440467814
23800,1.47055794509659
