tick,executed task,wasted task,communication time,executed time,waiting time,all executed time,leader count,member count,allocate area 0 member,allocate area 1 member,allocate area 2 member,allocate area 3 member
0,0,0,0.0,0.0,0.0,0.0,2,117,0,0,0,0
100,12,2,1.9946353124000171,0.8241666666666666,0.7216666666666666,2.3033333333333332,61,58,11,10,21,24
200,61,112,2.0076359494158083,1.7646587301587306,7.517047619047619,7.9285436507936495,14,105,41,70,89,121
300,153,102,1.956025159087483,0.5489438061938062,6.984051032301031,9.389253746253743,23,96,82,182,196,273
400,188,91,1.9196935919940632,0.6441931679431679,7.611910256410256,10.085413530913533,30,89,93,155,230,312
500,158,48,1.9489438900683695,0.6270797258297258,7.904304834054836,10.495273448773451,18,101,110,194,176,211
600,188,20,1.896343438588974,0.43370580236756706,5.698010602142956,9.925294151926503,23,96,111,239,209,286
700,173,27,1.9329955813165023,0.5474718892218892,7.563694888444891,10.243355644355647,26,93,107,179,178,267
800,201,16,1.8931753131820455,0.4614937570599333,7.403400925055334,10.551574016669608,19,100,106,188,216,329
900,176,10,1.864580802654598,0.5244919386169385,8.156232905982906,9.629740453990452,21,98,86,165,221,356
1000,205,23,1.8301829912533656,0.45512501387501386,7.431987248862246,10.530667152292155,27,92,90,168,284,344
1100,181,16,1.8741641736598529,0.4895353339470991,6.265151697975228,9.722608492814379,24,95,95,161,248,301
1200,209,17,1.8762362197655746,0.4372144244644244,7.1824363691863695,10.075030996780997,22,97,112,153,298,332
1300,172,16,1.8483522249899076,0.5913348113874428,7.26516532444164,9.677692772140142,22,97,59,120,264,333
1400,182,11,1.841469098261199,0.5784628410804883,7.709357714997417,10.566177981332396,20,99,64,172,262,302
1500,173,23,1.8707939191772511,0.5409994613229907,7.177262694821518,10.354073611029493,24,95,80,164,253,303
1600,176,15,1.7987087276255904,0.4729105061605061,7.164405455655456,10.007097291597292,17,102,56,150,220,319
1700,179,13,1.8183302599450544,0.5346764412058531,8.554989659849957,10.431894691093222,23,96,58,164,252,300
1800,195,12,1.7496301920353394,0.45773458730811656,7.585942665177958,10.076101782204725,23,96,75,170,259,393
1900,185,9,1.7770962006339932,0.5305859834609836,7.741379897879897,10.239716783216782,20,99,76,143,247,325
2000,175,9,1.7964937429565433,0.5611738539238539,7.104672910422911,9.553186563436565,24,95,77,167,255,288
2100,188,13,1.7645070363649398,0.4643999611499611,7.264641636141635,9.980961760461764,21,98,64,178,269,306
