Agent ID,Area ID,x,y,Resource: 1,Resource: 2,Resource: 3,Resouce Average,Leader Evaluation,Member Evaluation,Allocated Subtasks,Refused Subtasks,Member Count,Leader Count
231,3,40,44,1,1,3,1.6666666666666667,0.9995735412018913,0.02548146071066031,411,9,13306,86696
453,3,32,36,5,4,2,3.6666666666666665,0.9168799614123758,0.0930544414902645,28,0,13394,86608
491,2,47,17,3,2,2,2.3333333333333335,0.7454242763537473,0.015576454208673606,20,0,12745,87257
83,1,8,45,1,1,3,1.6666666666666667,0.8762018511372469,0.04702149556395145,3895,29,40853,59149
464,0,23,2,2,4,5,3.6666666666666665,0.830751519014063,0.025018297902129873,23,0,12323,87679
318,3,40,28,1,4,1,2.0,0.24761272367901788,0.008585005101201616,152,0,13412,86590
417,1,11,39,5,4,1,3.3333333333333335,0.9960322163903077,0.028575585454199224,61,0,12664,87338
362,2,26,15,1,5,4,3.3333333333333335,0.9911974672299656,0.0727892676675934,32,0,14016,85986
358,3,40,46,3,2,2,2.3333333333333335,0.9852408489443369,0.08411179484063841,55,0,12650,87352
381,2,32,4,2,4,4,3.3333333333333335,0.944333347234051,0.08715610981440909,32,0,14182,85820
354,2,40,13,3,1,4,2.6666666666666665,0.9968621327728855,0.1128807349888763,87,4,15441,84561
136,1,4,43,1,4,2,2.3333333333333335,0.8803081983144897,0.054443144588433995,276,8,14417,85585
63,3,34,27,5,1,1,2.3333333333333335,0.8545596516917567,0.138395156446325,27,0,12925,87077
334,0,0,0,5,2,2,3.0,0.29291006288439847,0.0019472024573830625,15,0,12072,87930
219,1,24,39,2,3,3,2.6666666666666665,0.6069322528182367,0.04510733952618894,29,0,12256,87746
112,2,34,24,2,1,3,2.0,0.9563871693255445,0.027755415015331193,377,6,15460,84542
279,1,17,31,5,1,4,3.3333333333333335,0.6026776425854065,0.09690150451859117,9953,49,75227,24775
145,2,44,17,1,4,1,2.0,0.950290327492222,0.014536973564841163,29,0,13189,86813
42,0,23,21,1,4,1,2.0,0.9993007800714182,0.045687795628396165,359,7,15148,84854
433,3,29,46,2,1,3,2.0,0.9883143459530557,0.06193693198491176,185,5,12992,87010
350,0,15,14,1,1,1,1.0,0.998461886516602,0.05764798264969049,90,2,13237,86765
164,3,35,29,1,3,5,3.0,0.931656755792716,0.039820660407370014,273,6,12900,87102
288,1,10,25,1,1,1,1.0,0.9697674080434671,0.025978479546051706,28,0,15650,84352
455,3,49,26,3,1,2,2.0,0.803895816573283,0.03168515807229851,1021,29,18628,81374
458,3,31,47,3,5,5,4.333333333333333,0.9919938278299656,0.031833995244798415,21,0,9972,90030
355,1,24,47,1,5,3,3.0,0.9951798004623877,0.04844813344682903,21,0,10807,89195
132,0,0,24,4,4,2,3.3333333333333335,0.9539323999282164,0.04340990969140431,63,0,13696,86306
326,2,38,19,4,2,5,3.6666666666666665,0.9966477315835148,0.10363971321791832,49,0,11205,88797
184,2,42,17,4,3,3,3.3333333333333335,0.8862036677062374,0.035236903703025665,14,0,12083,87919
156,3,27,33,4,2,2,2.6666666666666665,0.9962741147398764,0.032959272797419906,57,2,11451,88551
217,1,16,27,2,4,4,3.3333333333333335,0.9740730180002574,0.09976508994859402,34,0,12728,87274
415,1,20,43,1,1,5,2.3333333333333335,0.9739738249557537,0.07334386876531256,217,12,15399,84603
481,0,9,22,2,4,1,2.3333333333333335,0.9392795285486352,0.006082511776260497,222,8,11897,88105
333,1,24,45,1,2,1,1.3333333333333333,0.9979226555825867,0.005329244114558225,276,5,15882,84120
330,2,28,17,5,2,2,3.0,0.9606699229599035,0.1200275075705204,66,4,12215,87787
230,3,37,26,1,3,5,3.0,0.9705565802103169,0.00696973632928251,32,0,13112,86890
321,3,35,48,3,5,4,4.0,0.9287947786300482,0.021154468051450825,22,0,12988,87014
43,3,31,27,4,3,3,3.3333333333333335,0.9450482589223865,0.11257978142567342,33,0,14318,85684
16,3,44,25,2,1,3,2.0,0.9207182799711664,0.05627367932278122,24,0,13137,86865
215,2,37,7,4,2,4,3.3333333333333335,0.9753825690336432,0.03520227384183149,24,0,12455,87547
218,0,10,8,5,5,1,3.6666666666666665,0.9951250251985242,0.012769943550610856,975,23,16746,83256
394,0,12,4,3,3,5,3.6666666666666665,0.6621719727059119,0.04397562008315919,32,0,14132,85870
368,0,10,13,2,5,5,4.0,0.981442025825502,0.05217631884068878,10,0,12985,87017
85,3,33,26,5,2,1,2.6666666666666665,0.9258126627169392,0.2883883607379931,7575,40,66596,33406
19,0,24,18,1,5,5,3.6666666666666665,0.9442207226243987,0.008689788430076967,194,11,12156,87846
110,1,17,48,4,2,1,2.3333333333333335,0.9564553268444503,0.0018670734338441007,10,0,13894,86108
90,2,49,9,1,4,5,3.3333333333333335,0.9940791766506148,0.07687155876654413,18,0,10746,89256
477,0,10,18,3,4,5,4.0,0.9473319622278875,0.06438590805641047,43,0,11974,88028
84,1,9,35,4,3,2,3.0,0.9387780166816478,0.06308082698535691,15210,84,77543,22459
304,1,23,43,2,1,3,2.0,0.9927257219421629,0.08299367132367025,28,0,12277,87725
471,1,12,34,1,2,1,1.3333333333333333,0.998619135799617,0.05359334346387141,152,2,14524,85478
72,0,18,24,1,5,1,2.3333333333333335,0.4746827048133802,0.08896190522939709,39,0,15382,84620
195,0,19,12,1,2,2,1.6666666666666667,0.983093653583914,0.013233330678114552,31,0,14514,85488
462,3,43,33,4,1,3,2.6666666666666665,0.9124409996157934,0.061821577477418684,10349,105,67377,32625
416,3,40,32,4,2,2,2.6666666666666665,0.8982102642753514,0.04949157788970626,3093,25,25469,74533
336,1,23,42,3,2,5,3.3333333333333335,0.9961256896281355,0.04196790903083052,34,0,11433,88569
369,2,34,19,1,2,3,2.0,0.9857978563065292,0.047282291265436226,941,29,15012,84990
449,0,24,4,2,1,1,1.3333333333333333,0.925947934822333,0.07963507079298861,24,0,13338,86664
39,1,5,32,4,2,5,3.6666666666666665,0.9993053073892464,0.024546427881380506,34,0,13524,86478
254,0,7,19,2,2,5,3.0,0.9829525028678289,0.023356696757223742,46,0,11749,88253
253,2,32,18,1,1,4,2.0,0.9899982397794348,0.08595885229902145,165,11,13553,86449
17,2,46,23,1,4,1,2.0,0.9632071378232777,0.05647523540367593,29,0,13785,86217
289,0,11,6,1,2,1,1.3333333333333333,0.6558907044259978,0.06408713005753947,28,0,13905,86097
348,0,18,7,5,4,1,3.3333333333333335,0.9430403561429556,0.06743524686157495,45,0,15059,84943
423,0,14,2,1,2,5,2.6666666666666665,0.9477977211962759,0.021660234098109007,514,23,15599,84403
44,1,18,43,2,4,5,3.6666666666666665,0.7578372025007605,0.06003924081252106,21,0,12317,87685
405,0,11,24,5,3,4,4.0,0.9415104319126814,0.056239159127668394,18,0,12348,87654
463,1,10,44,2,4,2,2.6666666666666665,0.9755684432728083,0.058023479467240104,24,0,12368,87634
272,1,15,47,4,1,2,2.3333333333333335,0.9648935771830738,0.015463683752082201,23,0,11826,88176
185,0,8,5,1,5,5,3.6666666666666665,0.9896877144726507,0.024827014778188865,26,0,11442,88560
119,2,44,1,1,3,4,2.6666666666666665,0.9278461774005734,0.040688281111486015,18,0,13207,86795
365,2,32,0,1,5,5,3.6666666666666665,0.9942969138328032,0.08144144901791467,30,0,14583,85419
163,0,6,17,2,5,1,2.6666666666666665,0.940034333817051,0.0026282344145450868,12,0,12706,87296
385,1,10,27,1,3,4,2.6666666666666665,0.9927503651337267,0.009320420424014307,27,0,12460,87542
108,1,5,30,1,5,2,2.6666666666666665,0.841877874999493,0.04400940426028855,23,0,11369,88633
437,0,8,16,4,5,3,4.0,0.998296114076219,0.0356018186409786,27,0,13017,86985
100,1,24,31,4,1,3,2.6666666666666665,0.9843898306816818,0.19268710223620225,482,26,14849,85153
56,1,15,34,4,3,4,3.6666666666666665,0.9953578945085468,0.046914841183199725,32,0,14730,85272
88,3,30,28,2,2,4,2.6666666666666665,0.9592715239710653,0.010482164607343749,1987,40,20752,79250
174,2,37,8,3,5,2,3.3333333333333335,0.48829109447022595,0.08497690073279353,43,0,12496,87506
290,1,23,30,1,3,2,2.0,0.9997162435163923,0.009944124194051987,325,12,12320,87682
114,3,39,29,5,1,1,2.3333333333333335,0.9775506759645041,0.05359893834587,153,3,12141,87861
466,2,47,8,1,4,2,2.3333333333333335,0.9918628054046009,0.03176235455901825,25,0,13844,86158
50,3,28,29,1,4,1,2.0,0.7295992997894825,0.02849053770173009,25,0,12717,87285
480,1,20,40,5,4,4,4.333333333333333,0.9921732187915334,0.05453479083365456,20,0,13435,86567
434,0,21,13,3,5,5,4.333333333333333,0.9436655344100026,0.018823925268452873,25,0,14172,85830
211,3,26,42,2,5,2,3.0,0.8489837668514034,0.05045957141719827,515,1,16509,83493
341,2,48,1,2,2,4,2.6666666666666665,0.9799204114045188,0.08543027064007268,34,0,12976,87026
210,2,40,0,1,3,1,1.6666666666666667,0.9899925682674642,0.028267628793855436,28,0,13639,86363
260,1,7,41,1,1,4,2.0,0.5841776134077493,0.0569591392941748,353,6,14059,85943
436,3,37,48,2,1,4,2.3333333333333335,0.6195603711332598,0.08153921997942677,788,19,18168,81834
73,2,33,16,1,4,2,2.3333333333333335,0.9817815961973735,0.13429284246431675,24,0,14068,85934
450,3,34,48,3,1,5,3.0,0.967960461881648,0.06583232586286662,6174,65,48955,51047
4,2,48,4,1,4,3,2.6666666666666665,0.981425602855685,0.052615341447835015,105,3,10061,89941
216,3,43,41,4,1,1,2.0,0.5383227450755329,0.02326192376180656,76,3,15633,84369
292,3,48,40,1,2,5,2.6666666666666665,0.9550242730473395,0.08936555580276022,23,0,16636,83366
285,1,3,26,1,4,2,2.3333333333333335,0.054195715185549304,0.7484068745265904,14003,113,95075,4927
262,1,22,26,4,1,2,2.3333333333333335,0.19609159171678944,0.5021196125347002,15583,139,99611,391
454,2,39,11,1,2,1,1.3333333333333333,0.14503803891615225,0.6035106171106651,12090,121,98036,1966
172,3,26,37,4,4,3,3.6666666666666665,0.2855438735611864,0.9236252936472413,24160,106,99848,154
376,2,41,23,1,1,5,2.3333333333333335,0.10906059595732649,0.860628130521629,3946,48,38618,61384
359,3,37,29,1,2,1,1.3333333333333333,0.013672906908450326,0.4433186389088316,3229,21,35186,64816
33,0,2,2,2,5,1,2.6666666666666665,0.06626526739375113,0.6002396724784005,15437,145,96937,3065
425,0,5,16,5,1,4,3.3333333333333335,0.21959148699515196,0.9893745817594386,15318,105,97617,2385
469,2,31,10,1,1,4,2.0,0.9364163578405886,0.09384795139829238,56,0,14201,85801
412,3,45,32,5,3,2,3.3333333333333335,0.3049359239910405,0.9138331765380425,21256,146,99787,215
261,0,5,6,3,4,5,4.0,0.9897007447594879,0.030533218692881843,36,0,13098,86904
244,1,7,27,1,4,5,3.3333333333333335,0.07878504467587637,0.9999531630017247,15717,140,99474,528
167,3,26,28,2,3,4,3.0,0.18277715933702535,0.9461908234798057,20231,79,99712,290
10,2,32,12,4,1,4,3.0,0.05080899732771815,0.7946718427919512,15953,106,98810,1192
312,2,39,1,4,2,4,3.3333333333333335,0.3232743841315347,0.8032672368553319,21732,150,99796,206
411,2,30,16,5,1,1,2.3333333333333335,0.07762654870492178,0.33754571831224517,12204,108,94581,5421
344,3,38,35,3,2,1,2.0,0.1462671235024879,0.8724441390733199,10351,59,76474,23528
166,0,1,23,3,2,5,3.3333333333333335,0.12120406311297018,0.9799238938054552,17205,178,80398,19604
18,1,6,38,2,1,4,2.3333333333333335,0.06156064351912695,0.4501215801541625,3404,34,36965,63037
214,3,34,28,4,4,2,3.3333333333333335,0.1955861146553384,0.8318354412948822,18467,80,99771,231
352,1,17,26,1,4,4,3.0,0.2695749005266035,0.7883259415575486,15209,134,93221,6781
239,0,17,7,2,3,3,2.6666666666666665,0.04669364498188745,0.9536780384622072,3371,12,28120,71882
451,1,16,26,4,1,1,2.0,0.05830196416687222,0.8021191028099407,11348,121,88954,11048
123,0,24,20,2,3,1,2.0,0.16493892612148156,0.9008515022182425,15780,147,99593,409
371,1,7,25,1,5,4,3.3333333333333335,0.09935508706963012,0.9424525764206814,15619,139,99477,525
92,2,40,16,2,2,2,2.0,0.9557198271429603,0.07285739043953539,62,2,13298,86704
222,1,18,41,3,3,1,2.3333333333333335,0.16945871549695188,0.8058981097478916,15952,138,99610,392
363,0,20,4,2,5,5,4.0,0.19817499961297252,0.86554570840941,21918,124,99710,292
152,2,43,18,5,4,1,3.3333333333333335,0.23699074149786145,0.9379215300511887,14612,112,99506,496
409,1,10,41,3,3,3,3.0,0.23344391656536503,0.9911376968676139,21684,106,99848,154
418,2,25,3,1,4,2,2.3333333333333335,0.410039215829606,0.6468715743837659,14812,129,96651,3351
14,3,27,39,5,3,5,4.333333333333333,0.08212620247550333,0.8709745565252452,9519,34,48753,51249
456,0,13,12,1,5,4,3.3333333333333335,0.12187667829563444,0.820371816201141,16487,112,99608,394
440,1,6,46,1,2,1,1.3333333333333333,0.0798854416135607,0.6143233143160339,12592,112,99330,672
435,1,2,48,5,1,4,3.3333333333333335,0.14863338562780568,0.9082014070804422,15921,120,99382,620
361,2,42,0,1,3,2,2.0,0.051041273260382186,0.8227123818066662,3529,41,37616,62386
221,1,11,37,2,4,3,3.0,0.131760047232871,0.6474141963832484,20818,138,99789,213
494,3,42,31,3,3,4,3.3333333333333335,0.1453456909063164,0.9012977420014165,21724,116,99787,215
53,0,4,5,5,3,5,4.333333333333333,0.16169689419478991,0.8998074418082906,21789,27,99760,242
76,2,34,16,2,1,5,2.6666666666666665,0.06821638037826801,0.8863287061497704,14658,116,99191,811
20,3,33,45,2,2,1,1.6666666666666667,0.13746856284417497,0.6765280757640423,13824,119,97939,2063
148,1,0,44,5,5,4,4.666666666666667,0.23867680126765356,0.8834056790712262,24240,107,99812,190
159,1,21,28,1,2,2,1.6666666666666667,0.22668839535104215,0.5806451648133548,14840,165,99535,467
499,3,44,43,3,1,4,2.6666666666666665,0.10064583360010208,0.9374064083359347,15916,206,99435,567
429,3,34,46,2,2,1,1.6666666666666667,0.08787767025788568,0.7374710402350706,9833,120,73828,26174
430,2,29,18,5,2,5,4.0,0.21524505618436607,0.9950005594977905,23418,193,99825,177
65,2,26,5,4,3,4,3.6666666666666665,0.1768429953704994,0.8066481167518946,23410,182,99825,177
9,2,28,7,1,1,5,2.3333333333333335,0.13142493992647725,0.9885937855310422,12868,89,97211,2791
141,0,8,11,2,4,4,3.3333333333333335,0.29419669698474954,0.701477333680779,21984,172,99860,142
129,0,18,15,5,4,4,4.333333333333333,0.2995320119606889,0.769638965561818,23104,118,99818,184
256,0,17,18,5,5,3,4.333333333333333,0.2640823985385268,0.7957901053194992,21298,66,99799,203
390,1,8,39,4,1,3,2.6666666666666665,0.13913004691063777,0.7698745237699408,15926,106,99753,249
366,1,11,26,3,3,1,2.3333333333333335,0.16266670914973044,0.9544074507076367,15868,157,99414,588
194,3,33,35,5,4,2,3.6666666666666665,0.1742126227261826,0.5902889536972872,20790,130,99768,234
339,2,41,7,3,4,3,3.3333333333333335,0.18867680126765357,0.9963902715335757,22843,25,99835,167
49,2,32,10,5,2,2,3.0,0.2653753568478388,0.977556416860136,19846,135,98444,1558
351,3,35,38,2,3,3,2.6666666666666665,0.0908025386475156,0.8034368747930642,19673,80,99641,361
62,2,44,10,2,2,1,1.6666666666666667,0.9993827787382827,0.07780551695827435,211,1,14477,85525
143,3,48,32,2,5,1,2.6666666666666665,0.08786636872294662,0.9380060766412154,14631,145,97729,2273
383,0,20,18,3,2,5,3.3333333333333335,0.24369631572473632,0.9997547317406762,21024,109,99706,296
325,2,32,15,1,4,5,3.3333333333333335,0.13444667325679197,0.5171780963122113,14806,196,86288,13714
2,3,45,31,2,4,1,2.3333333333333335,0.16574812598675617,0.6036369879814013,15177,105,99338,664
96,1,13,46,3,5,1,3.0,0.20974168442334348,0.9064677760200901,15665,155,99363,639
293,1,11,40,1,1,1,1.0,0.04839824686963096,0.6108906449650149,9732,105,93335,6667
186,2,44,21,4,2,3,3.0,0.15106486947242587,0.9429404788525637,20320,102,99718,284
300,0,8,12,2,1,1,1.3333333333333333,0.979960575271157,0.005609504804728851,35,0,14194,85808
213,3,28,48,5,3,4,4.0,0.2993684696191893,0.9984624499820258,23927,174,99906,96
498,3,29,49,3,2,4,3.0,0.1620608421085441,0.7826323835956865,18978,106,99822,180
309,0,16,12,5,4,2,3.6666666666666665,0.29118554973539995,0.9998105466376019,21525,138,99835,167
158,3,39,41,2,4,4,3.3333333333333335,0.07116711537328983,0.8280776002122558,18144,55,99618,384
69,3,29,29,5,4,5,4.666666666666667,0.21324701112516264,0.8542940832667937,23862,153,99837,165
116,1,22,44,2,3,5,3.3333333333333335,0.19235881290363632,0.672369305134437,21134,171,99827,175
23,1,14,25,2,2,4,2.6666666666666665,0.08399671574674787,0.9867974450722299,17466,138,99290,712
259,0,12,9,2,4,3,3.0,0.04737004012588157,0.9978146726217375,6274,66,39378,60624
61,2,25,15,2,3,2,2.3333333333333335,0.18950730107665545,0.9717782739439278,18685,141,99698,304
373,0,13,9,4,1,3,2.6666666666666665,0.03522471503198107,0.973770754141755,14588,114,93333,6669
60,2,29,15,2,2,5,3.0,0.2143020811776362,0.9798393365705018,20108,139,99758,244
485,2,37,12,2,3,5,3.3333333333333335,0.39172844127505485,0.8797069361552419,19263,99,99670,332
426,0,13,13,5,3,1,3.0,0.22444100910207332,0.9535885415279184,15389,137,99634,368
68,3,40,27,1,1,4,2.0,0.14505733397746434,0.6358357745780646,12626,108,99264,738
329,1,22,39,4,2,4,3.3333333333333335,0.1826727892478134,0.8712850890742496,20664,94,99836,166
